SERIAL;JOURV2;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D7_0;D7_1;D7_2;D8_0;D8_1;D8_2;D9;D10;D11_0;D11_1;D11_2;D11_3;D11_4;D11_5;D11_6;D12;D13;D14_0;D14_1;D14_2;D14_3;D14_4;D14_5;D14_6;D14_7;D14_8;D14_9;D14_10
15;1;1;2;1;78;1;5;1;5;1;8;1;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;1;2;2;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;2;5;;;;1;78;1;3;5;0;0;6;4;5;5;;;;2;5;2;2;5;3;2;2;2;3;3;2;2;3;3;2;2;2;2;2;2;3
16;1;2;1;2;91;1;5;1;4;2;5;7;3;1;1;1;;1;1;38.4;1;1;1;2;1;1;3;2;2;1;1;9;1;2;3;3;1;2;3;1;3;81;1;2;4;;;2;2;;1;3;2;2;2;1;2;2;3;4;3;3;5;;;;1;91;1;2;2;0;0;6;;;;2;3;2;2;2;3;4;4;5;5;3;2;;4;3;3;3;2;2;3;5;5;4;2;3
17;1;1;2;4;6;12;4;5;8;1;4;8;2;2;;3;;2;2;;1;2;1;1;1;1;2;2;1;2;2;9;1;2;1;1;2;2;1;2;3;120;2;;;;;1;4;2;2;2;1;2;1;2;1;2;1;1;1;1;;;;;1;6;12;1;1;0;0;4;3;1;1;;;;1;2;2;2;2;3;3;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1
18;1;3;2;7;2;5;3;1;5;5;1;6;3;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;6;1;480;4;;;;;2;2;2;2;2;2;2;2;2;2;2;5;4;4;5;1;;;;1;2;5;3;2;0;0;3;2;3;2;;;;3;2;1;1;1;3;2;1;1;1;5;1;1;3;2;1;1;4;1;1;2;2
19;1;1;1;5;62;5;4;1;5;3;3;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;5;1;1;1;1;1;1;1;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;4;4;4;;;;1;62;5;4;2;2;0;3;2;2;2;;;;2;2;2;1;4;2;1;1;3;2;4;1;1;4;1;1;1;1;1;1;4;1
20;1;1;1;1;59;5;4;2;3;1;1;8;5;1;6;1;;1;2;;2;1;2;2;1;3;3;1;2;1;2;4;2;4;3;3;1;3;3;3;3;180;1;;;;;0;2;;2;2;2;2;2;2;2;2;1;2;3;1;5;;;;1;59;5;2;2;0;0;6;;;;1;3;2;1;2;5;3;5;3;2;4;4;;1;2;3;3;1;3;3;3;4;3;3;1
21;1;1;2;4;93;1;5;1;5;7;1;8;3;3;;3;;2;2;;2;2;2;2;2;2;2;2;2;1;2;10;1;1;1;1;2;1;1;2;3;151;1;2;;;;15;2;2;2;2;2;2;2;2;2;2;2;1;2;2;5;;;;1;93;1;3;3;1;0;4;;;;;;;2;2;2;2;2;3;1;2;2;;2;1;1;2;1;1;1;1;1;1;1;1
22;1;1;1;3;33;9;4;1;5;1;2;5;1;2;;2;;2;2;;2;2;2;2;1;1;2;2;2;2;1;9;3;2;2;1;1;6;6;1;5;240;4;;;;;0;3;;2;2;1;2;2;2;2;2;1;2;2;1;3;;;;1;33;9;4;1;0;0;2;4;2;1;;;;2;2;2;2;1;4;2;1;4;2;1;2;1;1;3;2;2;2;1;1;3;2
23;1;1;2;4;93;1;5;6;8;3;1;2;8;1;2;3;;2;1;37.9;1;1;1;1;1;2;2;1;2;1;2;9;1;6;1;1;3;1;1;1;6;0;;;;;;0;2;2;2;2;1;2;2;2;2;2;2;1;2;2;;;;;1;93;1;5;5;3;0;4;;;;1;1;1;1;2;2;1;5;4;3;1;4;;4;1;1;2;2;1;2;2;1;1;1;1
24;1;1;2;3;69;11;4;1;5;5;2;8;3;1;3;1;;2;2;;2;1;2;2;2;1;2;2;2;2;2;5;1;6;1;1;1;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;2;1;1;2;3;;;;1;69;11;1;1;0;0;4;;;;4;4;1;5;1;2;1;1;4;4;1;4;;1;1;1;4;4;1;1;1;1;1;1;3
25;1;1;2;6;33;9;4;1;5;5;1;7;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;2;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;33;9;5;2;1;0;6;5;5;2;;;;2;2;2;1;2;3;2;1;3;3;3;1;1;2;1;1;1;1;1;1;1;1
26;1;1;1;5;94;1;5;1;3;1;10;5;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;6;2;1;1;1;1;1;6;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;94;1;2;1;0;0;6;4;4;1;;;;3;2;2;2;2;2;2;1;4;3;2;1;1;2;1;1;1;1;1;1;2;1
27;1;2;2;5;62;5;4;4;5;3;1;2;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;2;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;1;4;3;4;4;2;;;;1;62;5;5;5;2;0;2;5;5;2;;;;2;2;2;1;3;2;3;1;3;5;4;1;1;1;1;1;1;1;1;1;1;1
28;1;1;2;4;63;11;4;1;5;1;4;3;1;1;6;3;;2;1;0.0;2;2;2;1;1;2;2;2;2;2;2;10;3;6;3;3;2;1;1;3;3;0;;;;;;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;;;;1;63;11;2;1;0;0;5;;;;2;2;2;1;1;5;5;5;5;5;5;5;;2;2;3;2;3;2;2;2;2;3;3;3
29;1;2;2;2;50;4;3;1;3;2;1;4;7;2;;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;10;1;3;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;;;;1;50;4;3;2;0;0;6;5;5;1;;;;2;1;2;1;2;4;5;1;4;4;4;2;2;3;3;2;2;2;2;2;2;2
30;1;2;2;1;69;11;4;1;5;2;4;1;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;6;20;1;;;;;0;2;2;2;2;2;2;2;2;2;2;1;1;3;1;5;;;;1;69;11;3;2;0;0;6;2;2;1;;;;2;2;4;1;1;2;5;1;4;3;3;1;1;3;2;1;1;1;2;1;4;2
31;1;1;2;1;60;5;1;1;5;1;3;1;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;4;2;3;1;1;2;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;2;3;;;;1;60;5;5;4;0;0;5;3;3;1;;;;3;2;2;2;2;3;2;2;3;3;1;2;2;1;3;2;1;1;1;1;3;2
32;1;1;1;4;85;7;2;1;5;1;1;8;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;3;1;1;1;1;2;0;;;;;;0;2;;2;2;2;2;2;1;2;2;3;4;3;4;3;;;;1;85;7;4;1;0;0;5;3;1;1;;;;3;2;2;2;2;2;2;1;2;2;1;2;2;2;3;1;1;1;1;1;1;1
33;1;3;2;6;44;7;2;1;4;3;2;7;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;3;3;1;2;1;1;5;0;;;;;;0;2;2;2;2;2;2;2;2;1;2;4;4;4;3;5;;;;1;44;7;5;4;1;0;4;4;3;2;;;;3;2;2;1;1;2;2;1;4;3;2;1;1;3;1;1;1;2;1;1;3;2
34;1;1;2;2;93;1;5;1;5;2;3;8;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;6;1;1;1;1;1;1;6;0;;;;;;1;2;2;2;2;2;2;2;2;2;2;3;4;4;4;3;;;;1;93;1;2;2;0;0;6;4;4;1;;;;3;2;2;1;1;2;3;1;4;4;1;1;2;3;3;3;2;2;2;2;2;1
35;1;2;2;9;50;4;2;3;3;3;1;6;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;3;2;2;10;2;3;1;3;1;1;1;1;6;0;;;;;;1;2;2;2;2;2;2;2;2;2;2;4;4;3;4;6;;;;1;50;4;8;2;0;0;6;5;2;2;;;;2;2;2;2;5;2;2;1;3;5;2;2;1;3;2;2;2;1;2;1;3;2
36;1;1;2;8;59;5;4;7;7;3;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;3;1;1;1;2;5;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;3;4;4;4;;;;;1;59;5;5;2;0;0;6;3;5;1;;;;3;1;1;1;5;3;3;1;3;3;2;2;1;3;2;1;1;1;1;1;2;3
37;1;1;1;4;74;11;4;1;5;1;1;3;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;2;1;1;2;6;0;;;;;;0;2;;2;2;1;2;2;2;2;2;3;3;3;3;3;;;;1;74;11;2;1;0;0;5;5;1;2;;;;3;5;2;1;1;5;2;1;4;2;2;1;1;2;2;1;1;1;1;2;3;1
38;1;1;2;7;91;1;5;6;8;3;2;4;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1;1;1;1;1;2;6;120;1;3;;;;3;4;2;2;2;2;2;2;2;2;2;4;3;3;4;;;;;1;91;1;4;3;1;0;3;3;3;2;;;;3;5;5;2;5;5;3;2;4;3;2;3;3;3;2;2;1;2;1;2;2;3
39;1;1;2;1;58;3;1;4;8;1;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;2;1;3;2;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;3;2;;;;;1;58;3;4;4;1;0;5;3;3;2;;;;3;2;2;2;2;3;3;2;4;3;2;2;2;2;2;2;2;2;2;1;3;2
40;1;2;1;1;19;9;3;1;3;1;3;4;1;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;7;1;2;2;1;1;1;2;5;2;510;1;4;;;;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;19;9;1;1;0;0;6;2;4;1;;;;2;1;2;3;2;2;2;1;3;4;1;2;1;1;1;1;2;3;1;1;2;1
41;1;2;2;4;51;6;4;4;4;5;7;1;5;2;;3;;2;2;;2;2;2;3;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;4;60;1;2;;;;1;4;2;2;2;2;2;2;2;2;2;3;3;3;3;4;;;;1;51;6;4;2;1;0;5;2;2;2;;;;3;2;5;2;2;3;2;2;3;3;2;1;2;4;2;2;4;2;3;1;2;1
42;1;1;1;2;1;11;3;1;3;2;3;7;4;1;4;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;6;2;1;1;1;6;25;1;;;;;30;2;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;1;11;4;2;0;0;6;;;;1;2;2;3;2;1;1;2;3;5;1;4;;1;4;4;4;4;2;2;2;3;2;1;3
43;1;2;2;2;75;1;5;1;3;2;6;1;3;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;3;1;1;1;2;5;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;75;1;4;2;0;0;6;3;2;1;;;;3;1;2;1;1;3;3;1;4;3;1;1;2;1;1;1;1;1;1;3;2;1
44;1;2;1;4;49;7;1;1;6;2;1;8;2;2;;3;;2;2;;2;2;2;2;1;2;2;2;1;2;2;8;2;2;3;2;1;1;1;2;6;60;2;;;;;0;3;;2;2;2;2;2;2;1;2;4;3;4;3;1;;;;1;49;7;4;4;2;0;4;2;2;3;;;;2;3;2;1;4;3;3;1;1;2;3;1;1;3;1;1;1;1;2;1;2;1
45;1;1;2;5;44;7;4;6;8;1;1;8;2;2;;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;6;0;;;;;;1;4;2;1;2;2;2;2;2;2;2;4;4;2;1;;;;;1;44;7;3;1;0;0;6;5;1;5;;;;1;2;2;1;1;3;2;1;4;1;2;2;2;2;2;1;1;2;2;4;1;1
46;1;2;2;6;96;12;1;4;5;2;5;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;1;1;1;1;1;3;120;1;;;;;3;4;2;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;96;12;5;3;1;0;6;2;3;2;;;;3;2;2;1;1;2;1;1;4;3;2;1;1;2;1;1;1;1;1;1;1;1
47;1;1;2;4;57;6;4;1;4;7;8;1;2;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;5;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;;;;1;57;6;5;3;1;0;6;2;2;2;;;;2;2;2;2;2;3;2;2;4;5;3;2;2;3;2;2;2;2;2;2;2;2
48;1;2;1;2;85;7;2;1;6;1;3;2;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;2;2;3;3;2;2;3;3;30;1;;;;;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;6;;;;1;85;7;4;2;0;0;3;4;3;2;;;;3;2;3;1;1;3;2;2;3;3;1;2;3;2;2;1;1;2;2;1;3;1
49;1;1;2;6;85;7;3;3;2;1;1;2;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;5;3;3;1;1;1;2;6;40;1;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;85;7;2;1;0;0;6;3;5;1;;;;4;2;3;5;5;2;2;1;4;3;3;3;1;2;1;2;2;2;1;1;3;2
50;1;1;1;6;95;1;5;1;3;7;1;9;3;1;3;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;3;2;2;1;1;1;2;70;1;;;;;10;3;;3;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;95;1;3;2;0;0;6;;;;3;3;2;3;2;5;2;2;5;5;1;4;;5;3;2;2;1;2;1;1;2;1;2;2
51;1;2;2;3;75;1;5;1;6;4;1;7;4;2;;2;;2;2;;2;2;1;2;2;2;2;2;2;2;2;10;2;1;1;1;1;3;1;2;2;120;1;3;;;;10;2;2;2;2;2;2;2;3;2;2;1;1;1;2;5;;;;2;95;1;4;2;2;0;3;2;2;2;;;;1;2;2;2;2;2;2;2;3;2;3;1;1;3;2;1;1;1;1;1;2;1
52;1;1;2;6;75;1;5;1;2;3;1;6;3;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;3;2;2;2;1;2;1;60;1;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;75;1;5;4;2;0;6;5;5;5;;;;3;2;5;3;2;2;2;2;3;5;2;1;1;3;2;2;2;2;1;1;4;1
53;1;1;2;2;77;1;5;2;5;2;5;2;8;2;;3;;2;2;;1;2;2;2;1;2;2;2;2;2;2;7;1;2;2;2;1;1;1;1;6;120;1;;;;;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;5;;;;1;77;1;3;3;1;0;5;2;2;2;;;;2;2;3;2;2;2;2;2;2;3;3;1;1;1;2;1;1;2;3;2;3;1
54;1;2;2;6;65;10;3;1;3;1;1;6;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;3;2;1;1;1;2;5;90;1;4;;;;1;3;2;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;65;10;3;1;0;0;6;5;5;2;;;;2;2;2;2;2;2;2;2;3;3;2;2;2;3;2;2;2;2;2;1;2;2
55;1;2;1;3;78;1;5;1;5;3;8;2;1;2;;2;;2;2;;2;2;2;2;2;2;2;2;1;2;2;10;1;1;2;1;1;1;1;2;1;1200;1;4;;;;1;4;;2;2;2;2;2;2;2;2;4;2;4;4;1;;;;1;78;1;4;4;2;0;3;4;1;2;;;;2;3;3;2;2;2;3;3;3;2;3;1;2;4;2;1;2;2;1;2;2;1
56;1;1;1;4;42;11;1;1;4;1;1;2;7;2;;2;;2;1;0.0;2;2;1;2;2;1;2;2;2;2;2;9;1;1;1;1;2;1;1;3;1;540;1;4;;;;12;3;;2;2;2;2;2;2;2;2;3;2;1;3;1;8;;;1;42;11;3;1;0;0;6;2;3;2;;;;3;1;2;1;2;3;2;1;3;2;2;1;1;2;1;1;2;1;2;1;2;2
57;1;1;1;3;93;1;5;1;3;2;1;2;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;2;1;1;1;2;2;6;60;2;;;;;100;4;;1;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;93;1;3;2;0;0;5;3;2;2;;;;2;2;2;1;2;2;2;1;4;2;2;1;1;1;1;1;1;1;1;1;4;1
58;1;1;2;5;69;11;4;1;3;7;3;10;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;1;1;1;1;7;1;4;0;;;;;;3;2;2;2;2;2;2;2;2;2;2;3;3;4;3;1;3;;;1;69;11;4;4;2;0;6;5;5;5;;;;3;2;2;5;5;3;3;3;3;5;5;1;2;4;1;2;2;1;1;2;1;2
59;1;3;2;8;94;1;5;1;5;2;1;6;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;2;1;1;2;2;4;120;1;;;;;10;2;2;2;2;2;2;2;2;2;2;4;2;4;4;5;;;;1;94;1;4;3;0;0;4;5;5;1;;;;1;1;1;2;1;2;3;1;2;3;3;1;1;1;1;1;1;1;1;1;1;1
60;1;1;1;7;66;10;4;1;5;3;2;7;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;3;2;1;1;2;2;85;1;;;;;3;2;;2;2;2;2;2;2;2;2;3;2;3;2;5;;;;1;66;10;4;5;3;0;4;3;3;1;;;;3;2;3;1;1;2;2;1;3;3;2;1;2;2;1;2;1;1;2;1;1;2
61;1;2;2;2;34;10;4;4;3;3;1;5;6;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;1;1;1;1;2;2;0;;;;;;0;5;2;3;2;2;2;2;2;2;2;3;4;1;4;2;;;;1;34;10;5;2;0;0;6;2;2;1;;;;3;2;2;2;2;3;2;1;4;3;2;1;1;2;1;1;1;1;1;2;4;1
62;1;2;2;4;54;6;4;1;4;1;8;7;6;2;;3;;2;2;;2;2;2;2;3;2;2;2;2;2;2;8;1;2;2;2;2;1;1;4;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;1;3;;;1;54;6;4;1;0;0;6;2;3;2;;;;2;2;2;2;2;2;2;1;2;3;2;2;1;2;2;1;1;1;1;1;1;2
63;1;2;2;4;34;10;4;1;5;1;8;4;1;1;2;2;;2;2;;1;2;1;1;2;1;2;2;2;2;2;7;1;6;2;2;2;1;2;1;1;0;;;;;;1;5;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;34;10;2;1;0;0;5;;;;1;2;3;3;3;1;1;1;2;1;1;1;;3;2;1;4;4;1;1;1;2;4;4;3
64;2;2;1;1;93;1;5;1;1;1;1;8;9;2;;1;;1;3;;3;2;2;3;2;2;3;3;2;3;1;10;5;2;6;2;1;4;1;5;4;0;;;;;;0;5;;3;2;2;2;3;2;3;3;3;2;2;1;5;;;;1;93;1;;10;0;0;7;1;3;2;;;;5;5;3;2;2;3;3;3;3;3;2;1;4;2;4;4;2;3;3;4;3;3
65;1;2;2;1;6;12;4;8;8;2;1;7;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;1;1;4;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;6;12;8;5;2;0;5;5;5;1;;;;2;1;2;1;5;2;2;1;3;3;4;1;1;2;1;1;1;1;1;1;2;1
66;1;1;2;1;78;1;2;3;2;3;1;6;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;3;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;3;3;4;5;;;;1;78;1;5;2;0;0;4;5;5;1;;;;3;2;5;1;1;5;2;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1
67;1;1;1;1;65;10;3;8;8;1;8;1;6;1;3;2;;2;2;;2;1;1;1;1;2;2;1;2;1;2;7;1;4;1;1;1;1;1;2;6;150;1;2;;;;0;2;;2;2;2;2;2;2;2;2;1;4;4;2;;;;;1;65;10;2;1;0;0;5;;;;1;3;1;4;2;2;1;1;2;1;1;2;;1;3;3;4;3;1;2;2;3;1;4;3
