SERIAL;JOURV8;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B5Q;B5AQ;B5BQ;B5CQ;B6Q_0;B6Q_1;B6Q_2;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;Q411;Q412;Q413;Q414;Q415;Q416;Q417;Q418;Q419;Q4110;Q4111;Q4112;Q4113;Q4114;Q4115;Q4116;Q4117;Q4118;Q4119;Q4120;Q4121;Q4122;Q4123;Q4124;Q4125;Q4126;Q4127;Q4128;Q4129;Q4130;Q4131;Q421;Q422;Q423;Q424;Q425;Q426;Q427;Q428;Q429;Q4210;Q4211;Q4212;Q4213;Q4214;Q4215;Q4216;Q4217;Q4218;Q4219;Q4220;Q4221;Q4222;Q4223;Q4224;Q4225;Q4226;Q4227;Q4228;Q4229;Q4230;Q4231;Q43_0;Q43_1;Q43_2;Q44_0;Q44_1;Q44_2;Q45;Q46;Q47Q_0;Q47Q_1;Q48Q_0;Q48Q_1;Q410V1Q;Q410V2Q;Q411V1Q;Q411V2Q;Q412V;Q413V;D70V;D71V;D72_0;D72_1;D72_2;D72_3;D72_4;D72_5;D72_6;D73
589;1;1;2;9;80;5;1;7;7;3;10;8;1;2;;2;3;;2;6;1;2;2;2;1;1;2;4;4;120;2;;;;2;3;0;4;3;3;4;;;;;1;80;5;5;3;0;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;3;9;20;80;;;;;;;2;3;4;3;1;3;2;1;1;3;2;1
590;1;2;2;9;31;10;4;7;7;3;3;4;1;2;;2;3;;2;6;1;2;1;2;2;1;1;2;1;130;10;;40;30;1;1;0;4;4;4;4;;;;;1;31;10;7;3;0;0;6;2;1;;;;;;;;1;;;;2;2;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;1;;;;;;;;;;;;;;;;3;3;1;1;1;1;7;9;50;50;80;20;;;;;2;2;2;3;1;1;3;1;1;1;1;1
591;1;1;1;6;59;5;4;4;5;3;2;9;1;2;;2;2;;2;10;1;6;1;1;2;5;2;1;4;120;20;;30;;0;1;0;4;4;4;4;5;;;;1;59;5;;5;2;3;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;8;9;;;;;;;;;2;3;4;1;1;1;1;2;3;3;2;2
592;1;2;2;5;62;5;1;1;3;3;1;8;3;2;;2;3;;2;8;1;2;1;2;1;1;1;7;4;660;6;;;30;1;1;5;3;3;3;3;1;;;;1;62;5;6;3;1;0;6;2;2;1;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;6;4;25;75;30;70;25;;80;;2;2;2;2;2;1;3;3;3;3;1;1
593;1;1;1;8;57;6;3;2;5;1;5;6;4;2;;2;3;;2;3;1;3;1;1;2;1;1;2;2;150;12;;40;30;0;2;0;3;4;4;3;5;;;;1;57;6;3;1;0;0;6;2;2;2;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;5;5;2;1;3;3;1;5;50;50;100;0;50;;15;;2;2;3;2;1;3;1;1;1;1;2;1
594;1;2;2;6;60;5;2;1;4;7;3;8;4;2;;2;3;;2;10;1;1;2;2;2;1;1;2;2;180;1;76;;;0;1;0;4;3;4;4;3;5;;;1;60;5;6;4;2;0;6;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;3;3;7;5;20;80;30;70;0;;;;2;3;4;2;2;1;2;2;1;2;2;2
595;1;1;2;9;79;9;1;2;5;5;3;4;8;2;;2;3;;2;6;1;3;1;1;2;1;1;2;4;270;5;;30;30;0;0;0;4;4;4;4;5;;;;1;79;9;6;2;0;0;5;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;2;2;2;3;3;3;6;3;30;70;80;20;80;;20;;2;1;3;3;1;1;1;1;1;3;2;1
596;1;1;1;9;11;10;1;4;3;5;6;8;5;2;;2;3;;2;6;1;2;6;3;1;1;1;2;3;0;0;;;;1;1;0;4;4;4;4;7;;;;1;11;10;3;1;0;0;6;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;2;;;;;;;;;;;;;;;;2;2;1;3;3;3;4;6;50;50;50;50;;;;1;2;2;2;2;1;1;1;1;1;2;2;1
597;1;2;1;4;75;1;5;1;3;3;7;4;8;2;;4;2;;1;3;5;3;5;5;4;5;2;2;4;0;2;;65;65;0;1;0;4;3;4;4;4;;;;1;75;1;3;3;1;0;6;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;7;7;30;70;50;50;0;;;;1;4;4;3;1;1;2;1;1;1;2;2
598;1;1;1;9;59;5;1;7;7;3;3;6;4;2;;2;3;;2;7;2;3;3;3;1;1;6;2;2;0;0;;;;0;0;0;4;4;4;4;;;;;1;59;5;8;2;0;0;5;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;2;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;7;3;20;80;75;25;;;;;2;5;2;2;1;1;1;1;1;1;1;1
599;1;1;2;8;26;11;2;1;3;2;8;2;6;2;;2;2;;2;5;2;4;6;6;1;1;1;1;3;0;1;86;;;0;0;0;4;4;4;4;3;;;;1;26;11;4;2;0;0;5;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;1;6;7;1;2;2;5;9;10;90;100;0;;;;;2;3;1;2;1;1;1;1;1;1;1;1
600;1;1;2;4;28;2;2;1;3;4;3;4;6;2;;2;3;;2;7;2;3;1;1;2;2;1;2;2;90;2;;62;62;1;5;0;4;3;4;4;3;;;;1;28;2;2;1;1;0;6;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;5;2;2;1;1;1;8;9;0;100;0;100;0;;;;1;2;4;2;2;3;2;3;3;2;2;1
601;1;1;1;1;86;9;4;1;4;2;3;8;7;2;;4;3;;1;7;1;1;1;1;2;1;3;2;1;800;100;;48;30;1;0;4;3;4;4;3;1;;;;1;86;9;1;2;0;0;4;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;3;1;1;2;3;3;5;3;0;100;40;60;1;;15;;2;1;2;2;1;2;1;2;1;1;1;1
602;1;1;2;7;18;2;3;2;4;2;1;8;2;2;;2;3;;2;9;1;1;1;1;2;1;1;1;1;255;1;40;;;0;0;5;4;3;4;3;8;;;;1;18;2;7;4;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;2;2;2;6;7;0;100;50;50;0;;;;1;3;3;1;1;2;2;1;1;1;2;1
603;1;1;2;8;78;1;5;6;8;3;7;8;10;2;;2;3;;2;4;1;2;2;2;2;1;2;3;2;120;10;;;;1;1;0;3;3;3;3;;;;;1;78;1;7;7;3;0;4;1;;;;;;;;;;;;;;;;1;1;;;;2;;2;;;;;;;;2;1;;;;;;;;2;1;;2;;;;;;;;;;;;;;;;;;;7;7;7;3;3;3;7;9;80;20;80;20;;;;;2;3;2;3;1;1;3;3;1;1;1;1
604;1;1;2;10;41;2;2;5;8;3;8;2;4;2;;2;3;;2;5;1;3;1;1;1;1;1;2;3;0;0;;;;0;0;0;4;4;4;2;;;;;1;41;2;2;2;0;0;6;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;4;6;50;50;80;20;;;;;2;3;2;2;1;1;1;3;1;1;1;1
605;1;3;1;9;86;9;1;7;7;3;1;8;4;2;;2;3;;2;7;2;2;3;1;1;1;1;3;2;90;4;;30;60;3;0;0;3;3;3;3;;;;;1;86;9;4;2;0;0;4;1;;;;;;;;;;;;;;;;1;1;;;;2;;1;;;;;;;;2;2;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;5;7;4;2;1;2;7;8;60;40;60;40;;;;;2;1;2;2;1;1;1;1;3;1;2;1
606;1;1;1;9;17;9;1;7;7;5;1;10;9;2;;2;3;;2;7;2;2;4;3;2;1;1;2;3;90;50;;;;1;0;0;4;4;4;4;;;;;1;17;9;5;1;0;0;2;1;;;;;;;;;;;;;;;;1;2;2;;2;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;5;5;30;70;60;40;;;;;2;3;2;3;1;1;1;1;1;1;1;1
607;1;1;1;9;17;9;2;7;7;3;5;4;2;2;;2;3;;2;6;1;3;1;1;2;1;2;3;3;30;2;;58;58;1;0;0;4;4;4;4;;;;;1;17;9;4;2;0;0;2;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;7;7;10;90;10;90;;;;;2;2;3;2;3;3;3;3;3;3;2;3
608;1;2;2;8;83;12;3;4;3;4;2;5;3;2;;2;3;;2;6;1;2;1;1;5;1;1;1;2;210;0;;;;1;1;0;3;1;3;3;5;;;;1;83;12;4;2;1;0;6;2;1;;;;;;;;1;;;;2;2;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;1;;;;;;;;;;;;;;;;4;5;5;1;1;1;4;1;60;40;70;30;;;;20;2;3;4;2;2;1;2;2;1;2;2;1
609;1;1;2;10;75;1;5;7;7;3;1;6;3;2;;2;3;;2;10;1;1;1;1;2;1;5;1;1;285;75;;;;0;0;0;4;4;4;4;;;;;1;75;1;4;2;0;1;5;2;1;;;;;;;;1;;;;2;2;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;1;2;2;7;7;40;60;40;60;;;;;2;3;2;1;1;1;3;1;1;1;1;1
610;1;1;1;5;34;10;3;5;8;1;9;10;2;2;;2;3;;2;1;4;6;3;3;2;4;1;2;6;0;0;;;;0;0;0;4;4;4;4;;;;;1;34;10;2;1;0;0;5;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;1;1;100;0;100;0;;;;;2;3;3;2;2;1;2;1;1;1;1;1
611;1;1;1;6;8;6;2;1;6;5;2;1;10;2;;2;2;;2;6;1;2;1;1;1;1;1;2;2;85;2;;35;53;1;1;0;4;4;4;3;1;;;;1;8;6;5;2;0;0;5;1;;;;;;;;;;;;;;;;1;2;2;;2;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;6;6;4;1;1;1;6;1;40;60;60;40;0;;;;2;3;3;2;3;1;1;2;2;2;1;1
612;1;1;2;6;81;10;3;1;4;1;8;6;3;2;;2;3;;2;7;1;3;2;2;3;1;1;6;4;600;5;;45;50;2;2;5;4;4;4;4;1;;;;1;81;10;3;1;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;2;2;;2;;;;1;1;1;3;3;3;5;2;50;50;50;50;0;;;;2;1;2;2;1;1;1;1;1;1;1;1
613;1;2;2;5;13;12;4;1;4;5;3;6;8;2;;1;3;;2;7;1;1;1;1;6;1;1;6;2;720;24;;25;80;1;1;8;4;3;3;4;8;;;;1;13;12;5;2;1;0;4;2;1;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;5;2;10;90;10;90;0;;;;2;2;3;3;3;1;1;3;3;2;2;3
614;1;1;1;6;34;10;2;1;4;3;9;5;6;2;;2;3;;2;2;4;4;1;1;1;1;2;3;3;620;20;;40;30;0;2;5;4;4;4;3;1;;;;1;34;10;7;5;3;0;5;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;2;;;;;;;;;;;;;;;;1;1;1;1;1;3;7;6;50;50;100;0;;;;;2;2;4;3;3;1;3;3;3;3;2;1
615;1;1;1;7;62;5;4;5;8;1;4;7;3;2;;2;2;;2;5;3;5;4;1;2;1;2;1;5;0;1;57;;;0;1;0;3;2;3;1;;;;;1;62;5;5;1;0;0;1;1;;;;;;;;;;;;;;;;1;2;2;;2;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;3;2;1;1;1;3;3;5;100;0;100;0;;;;;2;4;3;1;2;2;2;2;2;2;2;4
616;1;1;2;7;88;6;1;4;5;2;1;3;5;2;;2;3;;2;10;1;2;1;1;2;1;1;2;3;150;4;;45;45;0;3;0;3;3;4;3;5;;;;1;88;6;5;3;0;1;3;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;7;1;7;1;1;1;5;1;60;40;60;40;;;;;2;3;2;1;2;2;2;2;2;2;2;2
617;1;2;2;8;62;5;3;1;6;3;10;3;6;1;3;;1;;1;7;4;3;2;3;2;3;2;5;3;300;4;;18;17;10;2;12;2;2;2;2;3;;;;1;62;5;7;4;2;0;5;1;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;1;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;2;5;3;6;2;2;3;4;3;50;50;50;50;45;;55;;1;2;2;2;3;2;2;2;3;1;1;3
618;1;1;1;9;14;4;1;7;7;3;3;2;4;2;;2;3;;2;9;1;1;1;1;2;1;1;2;2;0;0;;;;1;1;0;4;4;4;4;;;;;1;14;4;7;2;0;0;6;2;1;;;;;;;;1;;;;1;;2;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;7;7;7;2;2;2;6;5;0;100;0;100;;;;;2;2;4;2;1;1;1;1;1;1;1;1
619;1;2;2;4;44;7;4;1;6;3;1;7;5;2;;2;3;;2;9;2;3;3;4;1;1;2;2;3;150;15;;52;;2;1;10;1;1;1;3;5;;;;1;44;7;4;2;1;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;3;1;1;6;3;90;10;95;5;0;;;;1;3;2;3;2;1;2;1;2;2;2;2
620;1;2;2;2;59;5;4;1;5;1;1;2;4;2;;2;2;;2;9;1;1;1;1;1;2;1;3;1;180;5;;28;27;4;2;0;1;1;1;1;1;;;;1;59;5;1;1;0;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;2;1;;;;2;;1;;;;;;;;6;4;4;1;1;1;7;9;30;70;50;50;50;;40;;2;3;4;1;1;1;2;2;1;2;2;1
621;1;1;2;10;59;5;4;7;7;1;1;8;2;2;;2;3;;2;10;1;2;1;1;1;1;2;2;2;270;1;75;;;2;1;0;4;3;4;3;;;;;1;59;5;3;1;0;1;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;4;9;50;50;50;50;;;;;2;3;2;2;1;1;2;1;1;1;1;1
622;1;1;2;6;21;3;4;1;4;4;7;2;4;1;2;;2;;2;3;2;3;2;2;5;3;3;5;4;600;20;;40;55;0;0;30;3;1;1;4;1;3;;;1;21;3;3;3;2;0;6;2;2;1;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;6;1;1;1;3;3;6;3;30;70;50;50;;;;;2;3;4;3;3;3;3;3;3;3;1;1
623;1;2;2;4;26;11;2;3;2;3;3;8;1;2;;2;3;;2;3;2;2;1;1;2;1;1;2;2;30;0;;;;0;2;0;4;3;3;4;2;;;;1;26;11;5;4;2;0;5;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;1;1;1;3;1;7;2;50;50;30;70;;;;;2;1;2;3;1;1;3;1;1;1;2;1
624;1;1;1;7;30;10;1;5;8;2;1;10;2;2;;2;3;;2;8;1;1;1;1;1;1;1;2;1;80;1;;;;0;0;0;4;4;4;4;;;;;1;30;10;4;2;0;0;3;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;3;9;0;100;0;100;;;;;2;2;2;1;2;2;1;1;1;2;1;1
625;1;2;2;2;91;1;5;1;4;3;3;8;2;2;;2;3;;2;9;1;4;6;1;1;1;1;2;3;150;100;;;;0;1;2;2;3;4;3;6;;;;1;91;1;3;5;3;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;7;7;7;2;1;2;7;1;0;100;20;80;20;;0;;1;2;4;2;1;1;2;1;1;1;2;1
626;1;1;1;10;21;3;4;7;7;1;1;5;8;1;2;;3;;2;7;1;2;1;2;1;1;2;3;2;90;2;;;60;2;2;0;4;4;1;4;;;;;1;21;3;4;1;0;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;6;6;1;2;2;7;6;20;80;50;50;;;;;2;2;2;2;1;1;1;1;1;2;2;1
627;1;2;2;5;21;3;4;1;5;3;4;3;2;2;;2;3;;2;4;1;1;2;1;2;1;1;2;2;30;10;;;;10;0;5;3;4;1;3;6;;;;1;21;3;6;6;3;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;1;1;3;3;7;6;0;100;0;100;100;;50;;2;3;4;3;1;1;1;1;1;1;1;1
628;1;1;2;8;29;8;1;1;4;3;8;7;2;2;;1;3;;2;10;1;1;1;1;1;1;1;2;2;70;2;;50;90;1;2;0;4;4;4;4;2;;;;1;29;8;4;2;0;0;6;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;1;2;1;1;2;2;2;6;5;20;80;30;70;0;;;;1;2;2;2;1;1;1;1;1;2;2;1
629;1;2;1;2;14;4;3;1;3;2;8;4;5;2;;2;3;;2;5;1;1;1;1;1;2;2;1;1;480;40;;40;45;2;0;3;4;4;4;4;1;3;;;1;14;4;5;5;3;0;6;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;7;2;2;2;3;3;7;5;50;50;80;20;0;;;;1;2;2;2;1;1;2;1;1;1;1;1
630;1;1;2;8;38;11;1;1;5;2;6;8;3;2;;2;3;;2;6;1;1;1;1;2;1;1;2;2;0;0;;;;0;0;0;4;3;3;4;4;;;;1;38;11;5;2;0;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;6;9;20;80;40;60;0;;;;1;3;2;2;2;1;1;1;1;1;1;1
631;1;2;2;9;75;1;5;2;5;1;2;6;11;2;;2;3;;2;7;2;2;2;1;2;1;1;3;2;900;2;;8;2;2;0;0;4;4;4;4;1;;;;1;75;1;;1;0;0;3;1;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;1;1;1;99;1;100;0;98;;;;2;3;3;2;1;2;2;1;1;1;2;1
632;1;1;1;10;26;11;3;7;7;6;9;4;10;2;;2;3;;2;10;1;1;2;1;1;1;1;2;1;30;1;45;;;0;2;0;1;2;1;1;;;;;1;26;11;5;2;0;1;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;1;2;2;1;2;1;5;1;25;75;75;25;;;;;2;2;2;2;1;3;1;1;3;2;3;1
633;1;1;1;3;33;9;1;1;2;1;1;4;7;2;;2;3;;2;4;1;4;3;1;5;1;1;1;1;0;0;;;;1;1;1;4;4;4;1;1;;;;1;33;9;8;1;0;0;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;1;1;1;3;3;3;4;2;50;50;40;60;0;;;;2;2;3;3;1;1;2;1;1;1;1;4
634;1;1;1;9;92;1;5;7;7;3;9;10;3;2;;2;3;;2;7;1;1;1;1;1;1;1;5;2;480;20;;;;1;0;0;4;4;4;4;;;;;1;92;1;5;2;0;0;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;2;1;1;3;7;5;50;50;50;50;;;;;2;3;3;2;3;1;1;1;1;3;1;1
635;1;1;2;3;65;10;1;1;4;3;6;4;8;2;;2;3;;2;2;1;3;1;1;1;1;1;2;2;0;0;;;;0;0;0;4;4;4;4;3;;;;1;65;10;6;4;2;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;7;4;20;80;100;0;;;;;2;2;3;2;1;1;1;1;1;1;1;1
636;1;2;1;9;95;1;5;7;7;3;1;5;4;2;;2;3;;2;7;2;3;2;1;1;1;1;2;1;30;2;;45;18;0;1;0;4;4;4;4;;;;;1;95;1;5;2;0;0;5;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;2;;1;;;;;;;;;;;6;6;6;1;1;1;7;7;0;100;25;75;;;;;2;3;3;3;1;1;1;3;3;1;1;1
637;1;1;2;10;30;10;4;7;7;5;8;2;6;2;;2;3;;2;6;2;4;3;1;2;1;3;2;3;240;7;;38;70;2;2;0;4;4;4;4;;;;;1;30;10;7;1;0;1;6;1;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;2;1;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;1;1;1;1;1;1;7;5;20;80;20;80;;;;;2;3;2;2;1;1;1;1;1;3;1;1
638;1;3;2;8;21;3;4;6;8;3;1;9;2;2;;2;3;;2;8;1;1;1;1;1;1;1;1;1;0;1;;;;2;1;0;4;4;4;4;;;;;1;21;3;6;3;0;1;3;1;;;;;;;;;;;;;;;;1;1;;;;2;;2;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;6;3;40;60;40;60;;;;;2;2;4;1;2;2;2;2;2;2;2;2
639;1;1;2;8;56;8;4;6;8;3;1;2;8;2;;2;3;;2;9;1;2;3;1;1;1;1;2;2;60;3;;60;35;1;0;0;3;4;3;3;;;;;1;56;8;6;2;0;0;5;1;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;2;2;;2;2;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;7;7;1;1;1;7;7;0;100;0;100;;;;;2;2;2;2;2;2;2;1;1;2;2;1
640;1;2;2;3;77;1;1;2;3;3;5;2;11;2;;2;3;;2;7;2;2;2;3;3;1;2;2;2;1140;5;;28;42;0;0;4;3;1;3;3;1;;;;1;77;1;8;4;2;0;6;1;;;;;;;;;;;;;;;;1;1;;;;2;;1;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;5;1;1;1;3;3;7;9;20;80;50;50;60;;80;;2;1;3;2;1;1;1;4;1;1;1;1
641;1;1;1;9;45;2;1;7;7;3;9;2;6;2;;2;3;;2;8;1;2;3;1;1;1;6;1;2;0;0;;;;1;0;0;4;4;4;4;;;;;1;45;2;5;2;0;0;5;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;6;4;50;50;50;50;;;;;2;4;4;1;3;2;2;3;2;3;3;1
642;1;2;2;8;25;3;2;5;8;5;7;5;2;2;;2;3;;2;7;1;1;1;1;1;1;1;1;1;75;2;;55;55;1;1;0;4;4;4;4;;;;;1;25;3;3;1;0;0;3;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;7;7;7;3;3;3;3;1;40;60;40;60;;;;;2;4;4;2;3;3;3;1;3;3;1;1
643;1;1;2;8;75;1;5;2;4;1;1;10;4;2;;2;3;;2;10;1;1;1;1;1;1;1;1;1;90;2;;;;0;0;0;3;3;2;4;4;;;;1;75;1;2;1;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;7;7;7;2;2;2;4;4;50;50;50;50;0;;;;1;3;3;2;1;1;2;1;1;1;2;1
644;1;2;2;7;92;1;5;1;3;5;5;3;4;2;;2;2;;1;8;2;2;2;5;1;1;1;2;2;120;0;;;;3;1;0;2;4;4;2;3;;;;1;92;1;4;2;0;0;6;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;1;;;;1;1;;;;;;;;;1;4;1;3;1;3;7;7;20;80;30;70;0;;;;2;3;2;2;2;1;2;1;1;2;2;1
645;1;1;2;5;51;6;4;2;5;3;1;10;9;2;;2;3;;2;8;1;2;1;1;2;1;2;3;1;135;20;;;40;8;6;4;3;3;3;3;1;;;;1;51;6;5;4;2;0;5;2;1;;;;;;;;1;;;;1;;2;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;3;1;2;1;3;1;5;5;70;30;80;20;20;;50;;1;2;3;2;2;2;2;2;2;2;2;2
646;1;1;1;6;59;5;4;1;3;5;4;5;10;2;;2;3;;2;6;2;2;5;2;1;1;1;2;2;30;0;;;;0;0;0;4;4;4;4;3;;;;1;59;5;4;2;1;0;6;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;2;2;1;1;1;2;6;3;80;20;70;30;0;;;;2;3;2;3;2;3;1;2;1;1;1;1
