SERIAL;JOURV8;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B5Q;B5AQ;B5BQ;B5CQ;B6Q_0;B6Q_1;B6Q_2;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;Q411;Q412;Q413;Q414;Q415;Q416;Q417;Q418;Q419;Q4110;Q4111;Q4112;Q4113;Q4114;Q4115;Q4116;Q4117;Q4118;Q4119;Q4120;Q4121;Q4122;Q4123;Q4124;Q4125;Q4126;Q4127;Q4128;Q4129;Q4130;Q4131;Q421;Q422;Q423;Q424;Q425;Q426;Q427;Q428;Q429;Q4210;Q4211;Q4212;Q4213;Q4214;Q4215;Q4216;Q4217;Q4218;Q4219;Q4220;Q4221;Q4222;Q4223;Q4224;Q4225;Q4226;Q4227;Q4228;Q4229;Q4230;Q4231;Q43_0;Q43_1;Q43_2;Q44_0;Q44_1;Q44_2;Q45;Q46;Q47Q_0;Q47Q_1;Q48Q_0;Q48Q_1;Q410V1Q;Q410V2Q;Q411V1Q;Q411V2Q;Q412V;Q413V;D70V;D71V;D72_0;D72_1;D72_2;D72_3;D72_4;D72_5;D72_6;D73
12;1;1;2;8;80;5;1;4;3;7;5;10;9;2;;2;3;;2;5;2;2;2;1;1;1;1;2;3;90;4;;40;56;1;0;7;4;4;4;4;7;;;;1;80;5;5;2;0;0;6;1;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;6;8;10;90;50;50;;;;10;2;2;2;3;1;1;3;1;3;3;1;1
13;1;1;1;5;42;11;3;1;4;3;1;6;7;2;;2;1;;2;2;3;2;3;2;1;1;1;6;2;450;15;;45;25;0;1;4;2;2;4;2;1;;;;1;42;11;7;4;2;0;4;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;2;2;1;2;1;1;6;8;30;70;30;70;0;;;;2;3;3;3;1;2;2;1;1;2;2;1
14;1;1;2;7;33;9;4;1;5;3;6;2;1;2;;2;3;;2;3;1;1;1;1;2;1;2;3;1;690;50;;40;61;1;0;7;3;3;3;3;1;;;;1;33;9;5;3;0;0;4;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;2;;;;;;;;;;;;;;;;7;7;7;1;1;1;7;3;10;90;10;90;10;;50;;2;3;2;2;1;1;2;1;1;2;1;1
15;1;1;1;4;54;6;1;1;3;7;1;6;2;2;;2;3;;2;7;1;2;2;1;1;1;3;3;2;720;2;;30;50;1;1;2;4;4;4;4;1;;;;1;54;6;4;4;2;0;5;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;1;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;2;1;3;3;7;5;10;90;10;90;10;;30;;2;3;2;1;3;2;3;2;2;1;2;1
16;1;1;2;5;80;5;2;3;2;3;1;2;10;2;;2;3;;2;6;4;4;4;4;1;1;1;2;3;570;10;;40;50;0;0;0;4;4;4;4;1;;;;1;80;5;5;4;2;0;5;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;6;6;1;1;3;3;5;5;50;50;50;50;;10;;;2;2;2;3;1;1;1;1;3;1;1;1
17;1;2;2;8;35;8;4;1;3;2;5;4;8;2;;2;3;;2;10;1;2;3;3;2;1;1;1;2;0;0;;;;0;1;0;1;1;2;2;3;;;;1;35;8;4;1;0;0;6;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;2;2;6;4;50;50;50;50;100;;0;;2;2;4;1;3;1;2;1;1;1;1;1
18;1;1;1;6;34;10;4;4;4;7;5;9;4;1;2;;3;;2;5;1;1;1;1;2;1;1;2;1;60;2;;40;40;1;0;0;2;1;3;2;5;;;;1;34;10;4;2;0;0;4;1;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;6;3;1;1;2;2;7;1;10;90;90;10;;;;5;2;2;4;2;1;3;3;3;3;3;2;2
19;1;1;1;7;39;3;3;1;5;3;2;3;8;2;;4;2;;2;6;4;3;5;2;5;2;2;4;3;180;5;;50;50;20;0;25;4;4;4;4;1;;;;1;39;3;4;3;0;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;4;2;1;1;7;6;30;70;30;70;0;;;;1;2;2;2;1;1;1;1;1;1;1;1
20;1;1;2;1;59;5;4;8;8;1;8;5;7;1;3;;3;;2;8;3;1;1;1;4;3;3;3;3;630;4;;23;23;4;2;0;3;3;3;3;;;;;1;59;5;9;2;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;3;7;1;1;3;3;3;3;50;50;50;50;;;;;2;2;3;3;1;3;2;1;3;3;1;2
21;1;1;1;8;69;11;4;5;8;1;2;8;4;1;3;;3;;2;7;1;4;1;1;1;1;1;2;2;0;0;;;;0;3;0;1;2;4;3;;;;;1;69;11;4;1;0;0;3;1;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;2;1;;;;;;;;2;1;;2;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;5;1;100;0;100;0;;;;;2;2;3;1;1;2;2;2;1;2;1;1
22;1;1;2;1;31;10;1;8;8;1;4;7;5;2;;2;3;;2;7;2;3;1;6;2;1;1;2;2;360;2;;24;26;0;1;0;2;2;2;1;;;;;1;31;10;11;3;0;2;5;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;2;;;;;;;;;;;;;;;;;;;2;1;1;2;2;1;5;4;0;100;20;80;;;;;2;3;2;1;1;2;2;1;2;2;2;1
23;1;1;1;10;32;10;3;7;7;3;6;7;3;2;;2;3;;2;7;2;2;2;1;1;1;1;2;3;100;0;;;;3;1;0;4;4;1;4;;;;;1;32;10;5;2;0;2;4;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;2;2;7;8;50;50;50;50;;;;;2;3;2;2;1;3;1;1;3;1;1;1
24;1;2;1;1;86;9;1;1;3;2;2;5;6;2;;2;3;;2;7;1;1;1;1;3;1;2;5;2;720;30;;45;29;1;2;5;3;4;4;3;1;;;;1;86;9;5;2;0;0;6;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;1;3;1;7;6;0;100;0;100;20;;5;;2;3;2;2;1;1;2;1;1;1;2;1
25;1;2;2;5;44;7;4;1;5;3;1;3;10;2;;2;3;;2;7;1;2;1;1;2;2;2;2;2;180;20;;50;50;1;1;4;4;3;4;3;1;8;;;1;44;7;4;3;1;0;3;1;;;;;;;;;;;;;;;;1;2;1;2;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;6;5;40;60;50;50;0;;;;2;2;2;2;1;2;2;2;2;1;1;1
26;1;2;2;8;44;7;4;1;3;3;11;11;11;2;;2;3;;2;5;1;1;1;1;1;1;1;2;1;420;5;;45;50;0;0;2;4;4;4;4;3;;;;1;44;7;7;4;2;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;3;1;1;3;1;1;6;2;0;100;0;100;0;;;;1;3;2;2;1;1;2;1;1;1;1;1
27;1;1;1;2;50;4;3;3;3;1;3;2;6;2;;2;3;;2;4;1;1;1;6;2;1;3;6;2;720;20;;40;50;3;0;5;4;4;4;4;8;;;;1;50;4;6;2;0;0;6;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;2;3;3;7;8;40;60;100;0;;0;;;2;2;2;2;1;1;2;1;3;2;2;1
28;1;1;2;1;34;10;2;1;4;1;5;6;8;1;3;;3;;2;0;2;4;3;1;6;5;4;2;3;210;5;;25;60;5;3;5;4;4;4;4;3;;;;1;34;10;3;2;0;0;4;1;;;;;;;;;;;;;;;;1;2;2;;2;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;7;5;30;70;40;60;30;;;;2;3;4;3;3;3;3;3;3;3;3;1
29;1;1;2;6;49;7;2;4;6;3;5;2;4;1;3;;3;;1;7;2;2;1;1;2;1;2;6;2;330;50;;50;50;0;0;7;4;4;4;4;1;;;;1;49;7;3;2;0;0;4;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;1;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;4;4;2;1;1;1;5;2;10;90;20;80;;;;20;2;2;2;3;1;1;1;3;3;1;1;1
30;1;1;1;4;59;5;2;1;6;2;3;8;4;1;3;;1;;2;2;1;1;4;1;1;1;2;4;1;120;2;;24;32;2;1;7;3;2;4;3;8;;;;1;59;5;6;3;1;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;6;2;1;2;1;1;5;2;50;50;50;50;0;;;;2;3;4;3;3;3;3;3;3;3;1;1
31;1;1;1;5;35;8;1;1;4;3;3;8;1;2;;2;3;;2;4;2;2;3;2;2;2;2;4;2;120;5;;;;0;2;0;3;3;3;3;3;;;;1;35;8;6;5;3;2;5;1;;;;;;;;;;;;;;;;1;2;2;;2;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;7;6;0;100;50;50;0;;;;1;1;1;1;1;3;1;1;3;1;2;2
32;1;2;1;5;88;6;3;1;6;3;7;8;2;2;;2;3;;2;1;1;4;1;3;2;2;2;2;4;540;50;;40;30;1;1;1;4;3;4;4;1;5;;;1;88;6;6;3;1;0;4;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;6;5;10;90;40;60;;;;;2;3;4;3;1;3;3;1;1;1;2;3
33;1;2;1;9;7;11;1;2;3;3;3;4;5;2;;2;2;;2;8;1;4;2;1;1;1;1;6;2;60;10;;;;0;0;10;3;4;4;3;1;;;;1;7;11;5;2;0;0;5;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;2;6;6;1;2;2;7;6;20;80;20;80;0;;;;2;2;4;1;1;1;2;1;3;2;2;1
34;1;1;2;5;75;1;5;1;5;7;1;4;3;2;;2;3;;2;8;1;1;1;1;2;1;1;2;3;660;1;50;;;1;0;7;3;3;3;3;1;;;;1;75;1;3;2;0;0;6;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;1;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;3;1;3;3;3;7;6;25;75;30;70;20;;30;;2;1;2;2;2;1;2;3;1;1;1;1
35;1;1;1;10;77;1;2;1;3;2;2;8;1;2;;2;3;;2;9;1;2;2;1;2;1;1;2;4;120;4;;;40;2;0;0;4;4;4;4;3;;;;1;77;1;5;2;0;0;4;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;1;7;1;1;1;1;7;9;;;70;30;0;;;;2;3;4;3;3;1;1;3;3;3;2;1
36;1;1;1;10;15;11;1;7;7;3;1;9;2;2;;2;3;;2;7;1;4;1;1;1;2;1;3;2;240;4;;7;73;1;4;0;4;4;3;4;;;;;1;15;11;2;2;0;1;3;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;2;1;1;1;7;6;0;100;0;100;;;;;2;2;4;2;2;3;2;3;3;2;2;1
37;1;1;2;9;75;1;5;7;7;7;5;3;2;2;;2;3;;2;2;1;1;5;1;2;1;1;2;1;0;0;;;;1;1;0;4;4;4;4;;;;;1;75;1;2;2;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;2;;2;;;;;;;;;;;7;7;6;3;3;3;6;3;20;80;20;80;;;;;2;3;2;2;1;1;1;1;1;1;2;1
38;1;1;1;6;62;5;3;1;3;5;3;4;8;2;;2;3;;2;6;2;2;2;2;3;1;1;6;2;720;30;;;;1;1;80;4;4;4;4;1;;;;1;62;5;3;1;0;0;6;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;3;3;3;6;6;0;100;10;90;0;;;;2;2;2;2;1;1;2;2;3;1;1;1
39;1;1;1;6;14;4;4;1;3;3;2;7;6;2;;2;3;;2;10;1;1;1;1;1;1;2;2;1;150;10;;;59;2;3;1;4;3;4;3;1;3;;;1;14;4;5;4;2;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2;1;;7;7;7;1;1;1;6;3;20;80;20;80;;;;;1;2;4;2;2;2;2;2;2;2;2;2
40;1;1;2;3;77;1;2;1;4;2;3;4;5;2;;2;2;;2;4;1;4;4;2;1;1;1;1;1;0;0;;;;1;0;5;1;1;2;1;4;;;;1;77;1;3;2;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;2;;;;;;;;;;;;2;3;1;1;1;3;5;1;40;60;30;70;60;;20;;2;2;4;1;2;2;2;2;1;2;1;2
41;1;2;1;6;63;11;4;1;4;7;8;7;2;2;;2;3;;2;5;1;2;1;3;3;1;2;6;3;720;2;;41;40;8;0;3;2;1;3;2;1;;;;1;63;11;4;5;2;1;6;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;1;1;1;5;1;95;5;25;75;15;;30;;2;2;3;2;1;1;2;3;3;1;2;1
42;1;1;2;7;78;1;5;1;3;3;1;6;7;2;;2;3;;2;8;1;1;2;1;1;1;1;1;2;45;30;;;;1;1;0;4;4;3;4;4;;;;1;78;1;5;4;1;0;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;6;6;2;2;2;8;9;0;100;0;100;;;;;2;3;2;2;2;1;3;1;1;1;1;1
43;1;2;2;2;51;6;4;1;4;1;4;3;9;2;;2;3;;2;9;2;1;1;1;2;1;1;6;1;960;0;;;;2;1;35;4;4;4;4;1;3;;;1;51;6;3;1;0;0;5;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;4;1;25;75;10;90;0;;;;2;2;2;2;1;3;3;1;2;1;1;1
44;1;1;1;5;80;5;1;1;6;3;3;4;6;2;;2;2;;2;8;2;2;2;1;2;3;1;3;2;120;5;;40;45;1;3;0;3;3;4;2;4;;;;1;80;5;6;4;2;0;4;2;2;1;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;6;5;0;100;0;100;0;;;;2;2;4;2;1;3;2;3;1;2;3;1
