SERIAL;JOURV4;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C3BIS;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D30_0;D30_1;D30_2;D30_3;D30_4;D31_0;D31_1;D31_2;D32_0;D32_1;D32_2;D33_0;D33_1;D33_2;D33_3;D33_4;D33_5;D33B_0;D33B_1;D33B_2;D33B_3;D34_0;D34_1;D35;D36;D37_0;D37_1;D37_2;D38_0;D38_1;D38_2;D38_3;D39;D40_0;D40_1;D40_2;D41_0;D41_1
13;1;2;1;2;75;1;5;1;4;1;3;2;7;2;;4;1;;2;2;;2;1;2;2;2;2;2;2;2;2;2;7;1;3;5;6;5;3;6;1;4;0;;;;;;1;1;;4;3;2;3;3;3;3;1;2;1;1;3;1;2;3;;;;1;75;1;2;1;1;1;5;3;4;6;6;6;;;;1;1;3;3;3;3;1;5;5;;;;;1;2;1;2;2;1;3;3;1;2;3;1;2;2;1;1;2
14;1;1;1;6;45;2;4;1;3;2;4;7;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;2;2;1;1;2;2;330;2;4;;;;5;3;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;1;3;;;1;45;2;5;4;0;0;6;1;2;3;1;1;1;1;1;1;1;1;5;5;6;5;5;5;;;;;2;2;4;5;2;1;3;1;1;1;1;4;1;2;3;4;4
15;1;3;1;9;6;12;4;7;7;3;1;4;3;2;;3;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;1;1;1;1;1;2;6;120;2;;;;;0;3;;4;2;2;2;2;2;2;2;2;3;3;4;3;3;;;;;1;6;12;5;2;0;0;5;1;1;3;1;1;;;;;;;;;;;;;5;;;5;2;3;5;5;3;2;3;2;1;1;1;4;2;2;2;4;4
16;1;1;1;5;38;11;3;1;6;1;1;10;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;2;1;2;2;5;0;;;;;;0;2;;1;2;2;2;2;2;2;2;2;4;3;1;3;3;1;;;;1;38;11;1;1;0;0;3;1;5;3;1;2;1;1;1;;;;4;4;1;6;6;5;;;;;2;3;4;3;2;1;2;1;1;1;1;4;1;2;4;2;3
17;1;1;1;1;57;6;2;8;8;2;9;1;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;5;2;3;4;3;1;3;4;60;1;2;;;;2;2;;4;2;2;2;2;2;2;2;2;4;4;4;3;4;;;;;1;57;6;1;2;0;0;6;4;3;3;2;2;;;;;;;;;;;;;5;;5;5;2;1;5;4;3;2;3;1;1;1;2;3;2;2;3;2;2
18;1;1;2;4;37;2;1;1;5;2;3;4;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;5;1;1;2;1;1;2;2;0;;;;;;0;2;2;1;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;37;2;7;3;0;2;4;1;1;1;1;1;;;;1;3;3;4;5;5;2;2;5;;;;;2;2;4;3;3;2;3;1;1;1;1;4;2;2;3;3;3
19;1;1;2;1;42;11;3;8;8;1;1;7;5;2;;2;3;;2;1;0.0;2;2;2;1;1;2;2;2;2;2;2;10;1;1;1;1;1;1;6;1;1;0;;;;;;0;1;2;4;2;2;2;2;2;2;2;2;3;3;3;2;3;;;;;1;42;11;5;3;0;0;5;1;1;3;2;2;;;;;;;;;;;;;6;;2;6;2;2;4;1;2;1;3;2;2;1;1;3;1;1;3;4;4
20;1;1;2;2;76;4;4;1;3;2;1;3;6;2;;3;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;2;1;1;1;6;0;;;;;;1;2;1;4;2;2;1;2;2;2;2;2;2;3;3;2;1;3;;;;1;76;4;5;2;0;0;6;1;2;2;2;2;;;;1;1;1;2;5;5;2;5;5;;;;;1;1;5;3;2;1;2;1;1;1;1;4;2;2;3;3;3
21;1;1;1;10;37;2;4;7;7;3;1;8;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;3;1;1;1;1;1;2;30;1;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;37;2;7;2;0;0;4;1;1;2;1;2;;;;;;;;;;;;;5;;;5;2;2;5;4;2;1;2;1;1;1;1;4;2;2;3;4;4
22;1;2;2;6;30;10;3;1;5;2;1;3;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;4;105;1;3;;;;4;2;2;4;2;2;2;2;2;2;2;2;3;3;3;3;2;4;;;;1;30;10;5;4;2;0;5;1;1;3;1;1;;;;3;1;3;5;5;6;5;5;5;;;;;3;3;4;5;3;2;3;2;1;1;1;4;1;1;4;2;2
23;1;1;1;1;5;12;1;8;8;1;1;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;2;1;3;1;6;1;3;15;2;;;;;0;2;;4;2;2;2;2;2;2;2;2;2;3;4;2;4;;;;;1;5;12;5;3;0;0;3;1;1;3;1;2;;;;;;;;;;;;;6;;2;5;3;2;6;5;3;1;3;2;1;1;1;4;2;2;4;3;3
24;1;1;2;3;2;5;1;2;5;3;2;9;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;1;1;1;2;2;360;4;;;;;14;3;2;4;2;2;2;2;2;2;2;2;3;4;4;2;2;1;3;;;1;2;5;6;4;2;0;5;1;6;2;1;2;1;1;1;1;1;1;3;5;6;6;6;5;;;;;2;2;3;5;3;1;3;1;1;1;1;4;1;2;3;3;3
25;1;1;2;5;42;11;4;2;4;7;1;8;4;2;;3;3;;1;2;;2;2;2;2;1;2;2;2;2;2;2;9;1;2;2;1;1;1;1;1;2;16;2;;;;;0;2;2;4;2;2;2;2;2;2;2;1;3;3;4;3;3;3;;;;1;42;11;5;2;0;0;6;1;1;4;2;1;;;;3;3;3;6;3;5;5;5;5;;;;;2;3;5;5;2;1;2;1;1;1;1;4;2;2;3;4;4
26;1;1;1;10;78;1;5;7;7;3;1;3;10;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;1;2;2;9;2;3;1;1;2;1;1;2;3;250;3;;;;;5;3;;4;1;1;2;2;2;2;2;2;4;3;4;4;3;;;;;1;78;1;5;2;0;1;5;1;1;3;1;1;;;;;;;;;;;;;5;;;5;2;2;4;5;3;2;3;1;1;1;1;4;3;3;3;2;3
27;1;3;2;10;88;6;3;7;7;3;1;8;3;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;0;;;;;;1;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;88;6;4;2;0;0;5;1;1;1;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;2;1;2;1;1;1;1;4;1;1;3;4;4
28;1;2;2;3;71;3;1;6;8;2;1;4;7;2;;2;3;;2;2;;2;2;1;2;1;2;2;2;1;2;2;9;2;2;2;3;2;1;1;2;2;120;1;;;;;5;2;2;1;2;2;2;2;2;2;2;2;3;3;4;3;4;;;;;1;71;3;5;5;3;0;4;1;6;3;2;3;;;;;;;;;;;;;5;;;3;3;3;5;4;3;3;3;1;2;1;1;4;1;1;4;3;3
29;1;2;1;4;64;9;4;1;5;1;2;8;7;1;3;;3;;2;1;37.9;1;2;1;1;3;2;2;2;2;2;2;7;2;2;3;2;2;2;2;2;3;60;1;;;;;1;2;;1;2;2;2;2;2;2;2;2;3;2;2;2;3;5;;;;1;64;9;2;1;0;0;5;3;2;2;2;2;;;;2;2;2;4;4;2;2;2;3;;;;;5;5;4;1;3;3;2;3;4;3;3;4;2;2;2;2;2
30;1;1;2;10;74;11;4;7;7;5;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;1;1;1;1;1;4;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;74;11;4;1;0;1;5;2;1;2;1;1;;;;;;;;;;;;;5;;;5;3;2;5;5;4;1;3;2;1;1;1;4;1;1;3;3;4
31;1;1;2;4;69;11;4;1;5;3;10;6;1;2;;2;3;;1;2;;2;2;2;1;2;2;2;2;1;2;2;7;1;2;1;1;1;1;1;1;4;0;;;;;;0;3;2;4;2;2;2;2;2;2;2;2;1;2;2;2;1;4;;;;1;69;11;4;4;2;0;5;3;1;3;3;2;;;;3;1;1;1;3;6;6;6;4;;;;;3;3;4;4;3;2;3;1;1;1;1;4;1;1;3;4;4
32;1;1;1;9;18;2;3;1;5;5;3;1;6;1;3;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;3;2;2;1;1;2;3;150;1;2;;;;5;2;;4;2;2;2;2;2;1;2;2;3;1;3;3;2;3;;;;1;18;2;4;1;0;0;5;2;1;3;1;2;;;;3;3;3;4;5;6;5;2;2;;;;;3;3;3;3;3;3;3;2;1;1;2;4;1;1;3;4;4
33;1;1;2;3;45;2;4;1;5;1;9;3;10;1;3;;2;;2;2;;1;1;2;2;2;2;2;2;2;2;2;8;2;2;1;5;1;2;1;1;3;600;4;;;;;10;2;2;4;2;2;2;2;2;2;2;2;3;3;3;4;4;1;;;;1;45;2;3;1;0;0;4;5;6;5;6;1;3;1;3;;;;4;5;6;6;6;3;;;;;2;2;4;5;4;3;3;1;1;1;1;4;2;1;3;2;1
34;1;1;2;9;17;9;3;6;8;3;1;6;9;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;4;1;1;1;4;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;3;3;3;3;;;;;1;17;9;5;2;0;0;3;1;1;6;1;1;;;;;;;;;;;;;6;;;5;2;2;5;5;2;2;2;1;1;1;1;4;2;2;3;4;4
35;1;1;1;8;64;9;4;1;5;4;1;2;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;3;1;1;2;1;2;0;;;;;;0;4;;4;2;2;2;2;2;1;2;2;4;3;3;4;4;7;;;;1;64;9;4;3;0;0;3;1;1;1;1;1;;;;;;;5;5;5;5;5;5;;;;;3;3;5;4;2;1;3;1;1;1;1;4;2;2;3;2;2
36;1;1;1;10;49;7;3;7;7;5;3;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;6;2;3;1;2;1;2;6;0;;;;;;0;3;;4;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;49;7;4;1;1;0;5;1;1;1;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;3;2;3;2;2;2;2;4;2;2;3;3;3
37;1;1;2;10;76;4;4;7;7;5;8;2;9;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;8;2;3;1;1;2;1;1;2;3;150;2;;;;;0;3;2;1;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;76;4;5;1;0;0;3;1;6;3;6;1;;;;;;;;;;;;;5;;;5;2;2;5;5;2;2;2;1;1;1;1;4;1;1;3;3;3
38;1;1;2;7;3;11;3;1;5;5;1;6;2;2;;2;3;;2;2;;3;3;3;3;3;3;3;3;3;3;3;0;7;7;7;7;7;7;7;7;7;60;1;;;;;0;2;2;1;2;2;2;2;2;2;2;2;4;3;4;4;4;5;;;;1;3;11;5;3;2;0;6;1;1;1;1;1;;;;3;3;3;4;5;6;1;1;6;;;;;2;2;5;5;4;1;3;3;1;1;1;3;2;2;3;4;4
39;1;1;1;10;59;5;3;7;7;3;7;8;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;2;1;1;1;1;3;90;1;2;;;;0;3;;4;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;59;5;6;2;0;2;2;1;2;1;5;1;;;;;;;;;;;;;5;;;5;3;2;4;4;3;2;3;1;1;1;1;3;3;2;3;3;3
40;1;1;2;6;72;7;1;1;6;3;10;1;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;4;2;2;2;2;2;1;30;4;;;;;20;2;2;4;2;2;2;2;2;2;2;2;4;3;4;4;3;1;;;;1;72;7;4;3;0;0;3;1;5;3;5;3;1;1;1;;;;5;5;5;1;2;4;;;;;3;3;5;5;3;2;3;1;1;1;1;4;3;2;3;2;2
41;1;1;1;7;83;12;4;7;7;1;3;8;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;3;2;2;1;1;1;6;0;;;;;;0;4;;4;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;83;12;3;1;0;0;5;2;5;2;1;2;;;;;;;;;;;;;6;;;6;3;3;5;5;3;1;3;1;1;1;1;4;2;2;4;4;3
42;1;2;2;1;69;11;4;2;5;1;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;1;1;2;2;0;;;;;;0;2;2;3;2;2;2;2;2;2;2;2;2;2;3;4;3;1;;;;1;69;11;5;3;0;0;6;1;1;1;1;1;1;1;2;;;;5;5;2;1;1;5;;;;;2;1;3;5;4;1;3;1;1;1;2;4;1;2;3;2;4
43;1;1;1;10;16;9;1;7;7;3;5;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;1;3;1;1;2;2;2;105;1;;;;;50;3;;4;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;16;9;4;2;0;2;6;1;1;1;1;1;;;;;;;;;;;;;5;;;6;2;2;5;5;2;2;3;1;1;1;1;4;3;3;3;4;4
44;1;1;2;4;81;10;3;1;5;7;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;3;2;3;3;3;0;;;;;;0;4;2;4;2;2;2;2;2;2;2;2;3;3;3;3;3;5;;;;1;81;10;8;3;1;0;6;2;2;2;2;2;;;;1;1;1;1;1;1;1;1;1;;;;;1;1;3;5;4;3;4;1;1;1;1;3;3;3;2;3;2
45;1;3;1;6;13;12;4;2;4;3;3;10;9;2;;2;3;;2;2;;2;3;2;2;2;2;2;2;2;2;2;8;1;3;2;1;1;1;2;2;3;0;;;;;;2;5;;4;2;2;2;2;2;2;2;2;4;4;4;1;4;2;;;;1;13;12;3;2;0;0;6;4;1;2;1;1;;;;;;;5;2;6;6;6;5;;;;;2;2;5;3;2;1;1;1;1;1;1;4;2;1;4;4;4
46;1;1;2;1;15;11;1;2;5;2;1;2;4;1;5;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;1;1;1;1;1;2;6;480;4;;;;;50;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;1;;;;1;15;11;4;2;0;0;4;1;1;4;1;4;1;1;1;;;;4;3;5;5;5;5;;;;;2;2;4;5;2;1;3;2;1;1;1;4;1;2;2;4;4
47;1;2;1;8;86;9;2;7;7;3;1;6;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;1;1;1;1;1;1;1;2;90;1;;;;;6;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;;1;86;9;6;2;0;0;4;1;1;1;1;1;;;;;;;;;;;;;5;;;5;3;3;5;4;2;1;4;1;1;1;1;4;2;2;3;3;3
48;1;1;1;6;28;2;2;1;4;3;8;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;3;1;600;4;;;;;0;2;;1;2;2;2;2;2;2;2;2;2;2;2;4;2;1;;;;1;28;2;5;5;2;0;3;4;4;1;2;4;1;1;1;;;;2;4;1;3;4;1;;;;;4;4;5;5;1;1;1;1;1;1;1;4;1;1;4;4;4
49;1;1;1;7;11;10;3;5;8;3;5;1;6;1;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;3;3;3;2;2;1;1;1;4;0;;;;;;0;4;;4;2;2;2;2;2;1;1;2;4;2;4;2;1;;;;;1;11;10;6;4;1;0;6;1;1;2;1;1;;;;;;;;;;;;;5;;;5;3;4;5;5;4;3;2;2;2;1;1;4;3;3;3;3;3
50;1;1;1;5;31;10;4;1;5;5;1;2;6;2;;2;2;;1;2;;2;3;2;2;2;2;2;2;2;2;3;10;1;1;4;6;1;1;1;1;6;60;1;2;;;;0;2;;1;2;2;2;2;2;2;2;2;4;3;4;2;4;3;;;;1;31;10;3;2;1;0;6;1;1;1;1;1;;;;1;1;1;6;6;6;6;5;2;;;;;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
51;1;2;1;10;95;1;3;7;7;3;1;10;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;2;1;1;3;1;1;4;0;;;;;;0;3;;1;2;1;2;2;2;1;2;2;4;4;4;3;4;;;;;1;95;1;4;2;0;2;6;1;2;2;2;3;;;;;;;;;;;;;4;;;5;3;3;4;5;3;2;2;2;1;2;1;3;2;3;3;3;3
52;1;2;1;1;69;11;4;1;6;2;5;4;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;3;2;4;3;1;2;1;1;6;0;;;;;;1;2;;1;2;2;2;2;2;2;2;2;2;4;4;4;3;5;;;;1;69;11;5;4;2;0;5;3;1;3;5;2;;;;2;3;1;3;3;4;4;2;1;;;;;2;1;2;3;2;1;1;2;2;3;1;2;1;3;2;1;2
53;1;1;2;10;92;1;5;7;7;6;4;3;7;2;;2;3;;2;1;0.0;2;2;2;2;1;2;1;1;2;1;2;5;1;6;3;3;4;2;1;2;4;45;2;;;;;1;2;2;4;2;1;1;2;2;2;1;1;3;3;3;3;4;;;;;1;92;1;2;1;0;1;6;3;5;4;1;3;;;;;;;;;;;;;4;;;3;2;2;4;4;4;2;4;2;2;2;1;4;2;2;4;2;2
54;1;1;1;9;6;12;3;7;7;5;8;2;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;2;60;1;;;;;3;4;;4;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;2;1;11;5;5;0;2;3;1;1;1;2;1;;;;;;;;;;;;;2;;;2;3;3;4;5;2;2;2;1;1;1;1;3;2;2;3;4;4
55;1;1;1;10;25;3;1;7;7;5;1;6;3;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;9;2;5;3;5;1;1;1;1;6;0;;;;;;0;4;;4;2;3;2;2;2;2;2;2;4;3;4;1;4;;;;;1;25;3;5;1;0;0;5;1;1;1;1;1;;;;;;;;;;;;;5;;;3;2;2;5;5;3;1;2;2;1;1;1;4;2;2;4;3;3
56;1;2;1;8;93;1;5;1;6;3;1;6;5;2;;2;1;;2;2;;2;2;1;2;2;2;2;2;2;2;2;9;1;2;3;1;2;1;1;2;3;15;2;;;;;4;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;93;1;4;3;0;0;2;1;2;2;1;1;1;1;1;;;;4;5;5;5;5;5;;;;;1;1;5;5;2;1;2;1;1;1;1;4;1;2;3;4;4
57;1;2;2;9;59;5;4;7;7;1;1;2;4;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;2;6;60;1;2;;;;3;3;3;3;2;2;2;2;2;1;2;2;4;4;4;4;3;;;;;1;59;5;3;1;0;0;4;2;1;2;6;1;;;;;;;;;;;;;5;;;5;3;2;5;5;2;1;3;1;1;1;1;4;2;1;4;4;4
58;1;1;2;10;72;7;4;7;7;3;1;3;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;1;1;1;1;1;1;45;1;;;;;2;2;2;4;2;2;2;2;1;2;2;2;3;4;4;3;4;;;;;1;72;7;5;2;0;0;6;1;1;2;1;1;;;;;;;;;;;;;5;;;4;1;1;4;5;3;1;2;1;1;1;1;4;2;3;3;3;3
59;1;3;2;10;85;7;2;7;7;3;1;8;5;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;3;1;1;1;1;1;1;0;;;;;;0;2;2;4;2;2;1;2;2;2;2;2;3;3;4;4;3;;;;;1;85;7;6;3;0;2;6;1;1;1;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;3;3;4;1;1;1;1;4;1;1;4;4;4
60;1;2;2;5;60;5;1;1;5;3;1;7;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;2;1;1;1;1;1;4;120;3;;;;;0;2;1;1;2;2;1;2;2;2;2;2;3;2;1;2;2;4;;;;1;60;5;4;4;2;0;4;1;2;3;1;2;;;;1;1;1;6;6;6;5;1;6;;;;;3;5;5;5;3;2;4;1;1;1;1;4;1;1;4;3;3
61;1;1;1;10;44;7;3;7;7;3;1;2;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;1;90;1;;;;;0;4;;4;1;2;2;2;2;1;2;2;3;3;4;3;3;;;;;1;44;7;4;2;0;0;4;1;1;1;1;1;;;;;;;;;;;;;3;;;2;3;3;5;5;4;2;3;1;1;1;1;3;1;2;3;3;3
