SERIAL;JOUR;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A7_0;A7_1;A7_2;A7_3;A7_4;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;ALEA;D1;D2;D3;D4_0;D4_1;D4_2;D5;D6
19;1;1;1;8;67;6;4;1;6;7;8;4;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;3;1;3;2;1;2;2;4;60;4;;;;;15;3;;2;2;2;2;2;2;2;2;4;3;3;4;1;;;;1;67;6;3;4;2;0;3;1;1;1;3;1;1;1;1;1
20;1;3;2;6;60;5;2;1;5;3;1;6;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;1;1;0;;;;;;0;2;2;2;2;2;2;2;1;2;2;3;3;4;4;5;;;;1;60;5;6;2;2;0;6;2;5;1;2;1;1;1;1;1
21;1;1;2;1;83;12;2;8;8;1;10;3;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;6;2;4;3;1;2;3;1;6;5;0;;;;;;0;5;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;83;12;7;6;2;0;5;1;5;2;1;3;3;3;1;3
22;1;2;2;7;93;1;5;6;8;2;5;6;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;93;1;3;4;1;1;1;2;1;1;3;2;2;2;1;1
23;1;2;2;2;67;6;3;1;5;7;10;3;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;5;1;6;2;2;1;1;2;1;5;35;2;;;;;1;2;2;2;2;2;2;2;2;2;2;3;3;4;3;4;;;;1;67;6;4;2;0;0;6;2;1;2;2;3;3;3;1;3
24;1;1;2;4;75;1;5;1;5;1;1;6;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;3;1;2;2;1;1;2;6;60;1;;;;;0;2;2;3;2;2;2;2;2;2;2;3;3;3;3;3;;;;1;75;1;2;2;0;0;6;1;4;3;1;3;3;3;3;3
25;1;1;1;7;56;8;3;1;3;5;1;10;3;1;3;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;1;6;60;4;;;;;1;3;;2;2;2;2;2;2;2;2;3;4;4;4;3;;;;1;56;8;2;1;0;0;5;1;1;3;1;2;2;2;1;1
26;1;2;2;6;95;1;5;1;5;1;1;2;11;2;;1;2;2;;1;2;1;2;1;2;2;2;2;2;10;1;1;1;1;7;1;1;1;3;0;;;;;;0;3;2;2;2;1;2;2;2;2;2;3;4;3;3;2;3;;;1;95;1;4;5;2;0;4;2;1;1;2;1;1;1;1;1
27;1;1;1;3;34;10;2;1;3;3;1;6;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;2;2;0;;;;;;0;2;;2;2;1;2;2;1;2;2;3;3;4;3;5;;;;1;34;10;10;4;2;0;6;1;3;4;1;2;2;2;1;2
28;1;3;2;5;78;1;5;1;5;2;1;8;2;1;6;3;;2;;1;2;2;2;1;2;1;2;2;2;9;2;2;1;1;1;1;1;2;1;90;1;;;;;15;1;2;2;2;2;2;2;2;2;2;4;3;4;4;6;;;;1;78;1;2;2;0;0;4;1;4;4;1;2;2;2;3;2
