SERIAL;JOUR;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A7_0;A7_1;A7_2;A7_3;A7_4;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;ALEA;D1;D2;D3;D4_0;D4_1;D4_2;D5;D6
332;1;2;2;6;38;11;1;5;8;3;1;8;2;2;;3;;2;;1;2;1;2;1;2;2;2;2;2;10;1;2;2;1;1;1;1;1;2;0;;;;;;1;1;2;2;2;2;2;2;2;3;2;2;2;3;3;;;;;1;38;11;3;3;1;0;5;1;2;5;3;1;1;1;1;1
333;1;1;2;2;17;9;1;1;5;1;2;3;7;2;;3;;2;;2;2;2;2;2;2;2;1;2;2;7;1;4;2;3;2;3;1;6;1;480;4;;;;;15;3;2;2;2;2;2;2;2;2;2;3;4;4;3;1;;;;1;17;9;4;1;0;0;5;2;1;5;3;1;1;1;1;1
334;1;2;2;2;42;11;4;1;5;3;9;8;11;2;;3;;2;;2;2;1;2;1;2;2;2;2;2;10;1;1;1;1;1;1;1;1;6;0;;;;;;2;4;2;2;2;2;2;2;2;2;2;1;1;1;1;4;;;;1;42;11;4;2;2;0;4;2;4;3;1;1;1;1;1;1
335;1;2;2;5;50;4;1;2;4;2;1;7;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;3;3;1;2;3;1;2;4;0;;;;;;0;3;2;2;2;2;2;3;2;2;2;3;3;4;3;1;;;;1;50;4;5;4;2;0;6;2;2;3;3;3;3;3;1;2
336;1;3;2;3;68;6;4;6;8;3;8;2;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;2;2;2;1;1;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;4;;;;;1;68;6;4;2;0;0;5;1;4;4;1;2;2;2;3;3
337;1;1;2;5;50;4;1;1;3;2;2;1;8;2;;3;;2;;2;2;2;2;1;2;2;2;2;2;8;2;6;2;2;1;1;1;2;6;60;1;;;;;5;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;;;;1;50;4;6;2;2;0;6;1;2;2;2;1;1;1;1;1
338;1;1;2;5;1;11;2;1;6;2;1;8;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;4;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;4;3;4;4;5;;;;1;1;11;5;3;1;0;4;1;3;4;1;3;3;3;1;1
339;1;1;1;4;53;7;1;1;4;4;2;1;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;5;2;1;1;1;1;1;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;4;4;6;;;;1;53;7;4;1;1;0;5;2;2;5;3;1;1;1;1;1
340;1;1;1;10;94;1;5;7;7;2;10;1;6;2;;3;;2;;2;2;2;1;2;2;2;2;2;2;10;1;5;1;1;1;1;1;1;1;60;1;;;;;0;3;;2;1;1;2;2;2;1;1;4;4;4;4;;;;;1;94;1;3;2;0;0;4;2;1;1;2;1;1;1;1;1
341;1;2;1;9;94;1;5;7;7;6;1;8;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;6;60;1;;;;;0;2;;2;2;2;2;2;1;2;2;3;3;4;4;;;;;1;94;1;8;4;1;0;6;1;4;3;1;3;1;1;1;1
342;1;2;1;8;33;9;4;7;7;4;1;8;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;3;1;3;1;1;1;2;6;1020;4;;;;;2;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;33;9;3;2;0;0;5;1;2;1;3;1;1;1;1;1
343;1;1;1;9;6;12;4;7;7;3;1;9;6;2;;3;;2;;2;2;2;2;1;2;2;2;2;2;9;1;2;1;1;1;1;1;2;3;60;2;;;;;1;2;;2;2;2;2;2;2;2;2;4;3;3;4;;;;;1;6;12;5;3;1;0;6;2;2;3;2;1;1;1;1;1
344;1;1;2;10;91;1;2;7;7;3;1;4;5;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;6;2;1;1;1;1;1;6;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;91;1;8;2;0;2;4;1;5;5;3;1;1;1;1;1
345;1;2;2;4;95;1;5;1;5;2;1;2;5;2;;3;;2;;2;1;2;2;2;2;2;2;2;2;10;1;4;1;1;2;4;1;1;4;0;;;;;;0;5;2;2;2;2;2;2;2;2;2;3;1;3;3;6;;;;1;95;1;3;5;3;0;6;2;2;4;1;1;1;1;1;1
346;1;3;2;8;11;10;1;2;5;3;1;3;10;2;;3;;2;;2;2;2;2;2;2;1;2;2;2;9;1;1;1;1;1;1;1;1;3;360;5;;;;;4;3;2;2;2;2;2;2;1;2;2;4;4;4;4;5;;;;1;11;10;6;4;0;0;4;2;2;2;2;1;1;1;1;1
347;1;2;2;4;38;11;1;1;4;3;1;2;5;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;5;120;1;;;;;0;3;2;2;2;2;2;2;2;2;2;4;3;4;4;5;;;;1;38;11;7;4;2;0;4;2;4;4;1;2;2;2;3;3
348;1;1;2;4;38;11;4;6;8;3;1;8;2;1;3;3;;2;;2;1;2;1;1;2;2;1;2;2;10;1;2;1;1;1;1;1;1;1;0;;;;;;0;2;2;2;2;2;2;2;2;1;2;4;4;3;4;;;;;1;38;11;5;9;6;1;5;1;2;2;2;1;1;1;1;1
349;1;2;1;3;54;6;4;1;6;3;8;9;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;2;1;1;1;4;0;;;;;;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;54;6;6;4;2;2;4;1;2;3;3;1;1;3;1;2
350;1;2;1;3;14;4;4;4;4;1;3;9;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;6;1;3;1;1;1;2;6;90;2;;;;;0;4;;2;2;2;2;2;2;2;2;3;4;4;4;5;;;;2;27;4;5;3;0;0;6;1;5;2;3;1;1;1;1;1
351;1;1;2;4;64;9;4;1;5;1;8;5;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;2;4;2;1;1;1;1;1;4;120;1;3;;;;10;3;2;2;2;2;2;2;2;2;2;4;3;4;4;5;;;;1;64;9;2;1;0;0;5;2;2;2;2;1;1;1;1;3
352;1;1;1;3;13;12;4;1;5;3;1;10;9;1;1;1;;1;0.0;1;2;1;1;2;1;2;2;2;1;7;2;3;2;3;4;3;2;3;2;120;2;3;;;;3;2;;2;2;2;3;3;3;3;1;2;1;2;2;2;;;;1;13;12;2;4;2;0;3;1;2;1;1;1;1;2;1;1
353;1;2;2;8;92;1;5;6;8;3;1;3;11;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;6;5;6;6;1;6;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;1;;;;;1;92;1;6;3;0;0;3;1;1;1;3;3;3;3;3;3
354;1;2;2;6;21;3;2;2;5;5;1;8;2;2;;1;;2;;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;3;2;50;2;;;;;0;2;2;2;2;2;2;2;2;2;2;3;1;3;4;1;;;;1;21;3;5;3;1;0;3;1;2;3;3;3;1;1;1;1
355;1;1;2;8;33;9;4;7;7;3;1;5;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;3;0;;;;;;1;3;2;2;2;2;2;2;1;2;2;3;2;4;3;;;;;1;33;9;7;2;0;0;5;2;1;2;2;1;1;1;1;1
356;1;2;2;9;33;9;4;7;7;5;2;4;8;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;6;4;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;33;9;2;2;0;0;6;1;1;1;2;1;1;1;1;1
357;1;1;1;7;75;1;5;7;7;1;2;8;1;2;;3;;2;;1;2;2;2;2;2;2;2;2;2;2;1;6;4;3;2;1;1;2;5;10;1;;;;;0;4;;2;2;1;2;2;1;1;2;1;3;4;3;;;;;1;75;1;1;1;0;0;6;2;4;4;1;1;1;3;1;1
358;1;1;2;3;3;11;1;3;5;1;1;2;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;2;1;2;1;1;1;1;6;0;;;;;;0;5;2;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;2;3;11;;2;0;0;5;1;5;5;3;2;2;2;1;2
359;1;1;2;10;95;1;2;1;5;3;10;1;6;2;;2;;2;;2;2;2;2;1;2;2;2;2;2;8;2;3;2;1;1;1;1;2;3;30;2;;;;;0;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;;;;1;95;1;5;2;0;1;4;1;5;4;1;1;1;1;1;1
360;1;2;1;1;77;1;3;8;8;1;8;1;3;1;3;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;2;3;1;1;6;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;77;1;5;4;1;0;4;1;1;5;1;1;1;1;1;1
361;1;3;1;5;92;1;5;1;5;3;1;2;7;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;2;1;2;1;1;2;1;6;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;92;1;6;5;3;0;3;2;1;2;3;2;2;2;1;2
362;1;2;2;5;35;8;1;1;5;1;1;2;10;2;;2;;2;;2;2;2;2;1;2;2;2;2;2;10;1;6;2;1;2;1;4;1;6;360;4;;;;;200;2;2;3;3;2;2;2;2;2;2;4;3;3;4;1;;;;1;35;8;6;2;0;1;5;1;2;2;3;3;3;3;1;3
363;1;1;1;10;35;8;4;7;7;3;1;9;4;1;4;2;;2;;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;1;1;1;1;4;30;1;;;;;0;3;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;35;8;5;2;0;2;6;2;4;4;1;2;3;2;1;1
364;1;1;1;9;91;1;5;7;7;3;10;3;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;2;3;1;5;3;1;4;1;6;0;;;;;;0;4;;1;2;2;2;2;1;1;1;4;4;4;4;;;;;1;91;1;4;3;0;0;3;1;3;4;1;1;1;1;1;1
365;1;3;1;10;66;10;4;7;7;2;1;10;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;6;1;2;2;1;1;1;1;0;;;;;;3;2;;2;2;2;2;2;1;2;2;4;4;4;4;;;;;1;66;10;4;2;0;0;6;1;2;2;2;1;1;1;1;1
366;1;1;1;9;93;1;5;7;7;3;8;1;4;1;4;2;;2;;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;1;1;1;1;6;60;1;;;;;10;4;;2;2;2;2;2;1;2;2;4;4;4;3;;;;;1;93;1;3;2;0;0;4;2;2;2;2;1;1;3;1;3
367;1;2;2;3;33;9;4;2;5;3;1;8;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;1;1;90;1;;;;;2;3;2;2;2;3;2;2;2;2;2;3;3;3;3;6;;;;1;33;9;5;4;2;2;4;2;1;1;3;3;3;2;1;1
368;1;1;1;2;32;10;1;1;6;1;7;2;4;2;;3;;2;;1;2;1;2;2;2;2;2;2;2;6;1;4;2;1;2;1;1;6;5;795;1;4;;;;1;2;;2;2;2;2;2;2;2;2;1;4;4;4;1;;;;1;32;10;15;6;1;0;4;2;3;4;1;1;1;1;1;1
369;1;1;1;8;67;6;4;1;6;1;3;10;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;6;3;1;1;1;1;1;6;75;2;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;67;6;4;1;0;0;3;2;1;2;2;1;1;1;1;1
370;1;2;1;1;68;6;4;2;2;2;10;9;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;4;1;1;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;2;3;;;;1;68;6;7;6;3;0;4;2;4;4;1;2;2;2;2;2
371;1;1;2;3;35;8;4;6;8;3;1;3;5;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;6;45;2;;;;;0;3;2;2;2;2;2;2;2;2;2;1;1;1;1;;;;;1;35;8;5;6;4;0;4;2;2;2;3;2;1;1;1;1
372;1;1;2;1;44;7;4;4;8;3;1;3;6;1;2;1;;1;38.9;1;2;1;1;1;2;2;1;2;2;7;1;1;1;1;1;1;1;1;2;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;3;2;;;;;1;44;7;4;5;2;0;2;1;1;1;2;1;1;1;1;1
373;1;1;1;1;21;3;1;2;4;2;5;8;3;2;;1;;2;;2;2;2;2;2;2;2;2;2;2;8;1;4;2;1;3;1;1;1;5;0;;;;;;1;2;;2;2;2;2;2;2;2;2;2;3;3;2;3;5;;;1;21;3;9;4;1;0;6;2;1;2;2;2;2;2;1;1
374;1;1;1;7;27;4;2;2;3;3;9;10;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;6;1;1;1;1;1;1;1;0;;;;;;0;4;;2;2;1;2;2;1;2;2;4;1;3;4;6;;;;1;27;4;11;3;1;0;5;1;4;4;1;1;3;3;1;1
375;1;2;2;6;70;3;2;1;4;2;1;2;5;2;;3;;2;;2;2;2;2;2;2;2;1;2;2;9;2;4;1;1;1;1;1;2;6;150;1;;;;;0;3;2;2;2;1;2;2;2;2;2;3;1;3;1;3;;;;1;70;3;5;3;1;0;6;2;3;4;1;1;1;1;1;1
376;1;2;2;4;26;11;3;6;8;4;7;2;6;2;;3;;2;;2;2;1;1;1;2;2;2;2;2;9;1;4;2;1;2;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;1;1;3;;;;;1;26;11;4;5;4;0;7;1;1;1;2;1;1;1;1;1
377;1;2;1;10;67;6;4;7;7;5;1;8;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;3;1;2;1;1;1;1;4;0;;;;;;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;67;6;5;1;0;1;3;2;2;2;2;1;1;1;1;3
378;1;2;2;2;76;4;4;3;3;2;1;3;8;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;2;1;1;1;6;45;1;;;;;2;3;2;2;2;2;2;2;2;2;2;1;1;2;1;2;;;;1;76;4;2;2;0;0;6;2;2;3;2;1;1;1;1;1
379;1;1;1;5;84;12;2;1;6;3;1;6;5;2;;3;;2;;2;2;2;2;2;1;2;1;2;2;10;4;2;2;1;1;1;1;1;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;2;4;4;5;;;;1;84;12;6;5;3;0;3;1;2;2;3;1;1;1;1;1
380;1;2;2;4;94;1;5;1;3;3;7;2;11;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;2;4;1;1;2;1;1;2;6;60;1;;;;;1;2;2;2;2;2;2;2;2;2;2;2;4;4;2;3;;;;1;94;1;5;4;2;0;6;1;1;1;2;2;2;1;1;2
381;1;1;1;5;35;8;2;1;6;7;1;3;8;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;2;1;1;1;1;1;6;20;2;;;;;1;3;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;35;8;4;2;0;0;5;2;2;2;2;1;1;1;1;1
382;1;2;2;2;69;11;4;6;8;3;3;4;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;5;20;2;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;69;11;4;3;1;1;6;2;2;4;1;3;2;2;2;1
383;1;1;2;6;53;7;1;1;4;3;8;2;3;2;;1;;1;37.8;2;2;2;2;2;2;2;2;2;2;10;1;1;5;1;1;5;1;1;5;60;1;;;;;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;;;;1;53;7;6;3;2;0;6;1;1;1;2;2;2;2;1;1
384;1;2;2;1;49;7;4;8;8;1;4;3;6;1;3;3;;2;;1;2;2;2;2;2;2;2;2;2;8;2;3;3;1;1;1;1;1;4;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;1;;;;;1;49;7;2;1;0;0;6;1;4;4;1;2;3;3;1;3
385;1;2;1;10;95;1;3;7;7;3;8;10;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;1;4;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;95;1;6;2;0;1;4;1;5;5;2;1;1;1;3;3
386;1;1;2;8;33;9;4;1;4;1;1;4;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;2;6;6;1;1;1;1;1;6;0;;;;;;4;4;2;2;2;1;2;2;1;2;2;4;4;4;4;1;;;;1;33;9;5;2;0;0;5;2;2;2;2;1;1;1;1;1
387;1;3;1;9;41;2;3;7;7;3;1;2;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;6;2;1;1;1;1;1;6;60;1;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;41;2;5;2;0;0;3;2;2;5;3;2;2;1;1;1
388;1;1;1;7;44;7;4;1;6;5;1;8;7;2;;2;;2;;1;2;1;2;2;2;2;2;2;2;8;2;2;3;1;2;1;2;3;4;360;4;;;;;20;2;;2;2;2;2;3;2;2;2;3;4;3;4;1;;;;1;44;7;5;4;2;0;2;1;3;4;3;1;1;1;1;1
389;1;1;1;8;76;4;1;1;4;3;7;8;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;1;2;1;2;4;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;76;4;7;2;0;0;5;1;3;3;3;3;3;3;3;3
390;1;2;2;3;13;12;2;1;5;3;1;8;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;2;1;1;3;1;20;2;;;;;0;3;2;2;2;2;2;2;2;2;2;3;3;3;4;1;;;;1;13;12;5;2;2;0;3;1;2;3;3;1;2;1;1;3
391;1;2;2;4;50;4;3;4;5;2;2;1;4;2;;3;;2;;2;2;1;1;1;2;2;2;1;2;9;1;1;4;4;1;1;1;1;4;60;1;;;;;0;4;2;2;2;2;2;2;1;2;2;1;1;2;1;5;;;;1;50;4;2;1;0;1;5;2;1;1;2;1;1;1;1;1
392;1;1;2;10;68;6;4;7;7;3;2;3;9;1;2;1;;2;;1;1;1;1;1;1;2;1;2;2;8;1;6;1;1;1;1;1;1;3;105;1;;;;;20;4;2;2;2;2;2;2;2;2;2;2;3;2;2;;;;;1;68;6;6;2;0;0;3;2;2;2;3;2;2;2;1;2
393;1;2;2;3;91;1;5;1;3;2;1;2;11;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;2;1;1;1;1;1;4;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;3;3;3;;;;1;91;1;2;1;0;0;6;1;1;1;2;1;1;1;1;1
394;1;1;1;10;34;10;4;1;3;3;8;6;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;1;1;1;2;6;50;1;2;;;;1;3;;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;1;34;10;4;4;0;0;5;1;2;2;3;1;1;1;1;1
395;1;2;2;2;54;6;4;2;5;7;1;3;4;2;;3;;2;;1;2;1;2;1;2;2;2;2;2;10;1;3;1;1;1;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;1;1;2;3;;;;1;54;6;5;2;1;0;5;1;1;2;3;1;1;1;1;1
396;1;2;2;1;4;12;2;8;8;2;3;7;4;2;;2;;2;;2;2;1;1;2;2;2;2;2;2;8;2;1;2;1;2;1;1;2;4;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;3;2;3;;;;;2;91;1;7;6;0;0;7;2;3;3;1;2;1;2;1;3
397;1;1;2;3;84;12;4;1;5;3;1;8;6;2;;3;;2;;2;2;2;1;2;2;2;2;2;2;10;1;3;1;1;2;2;1;2;5;20;1;;;;;1;4;2;2;2;2;2;2;2;2;2;2;2;2;1;1;;;;2;84;12;2;2;1;0;4;1;2;3;3;1;1;1;1;1
398;1;1;2;1;34;10;4;2;5;1;4;3;7;2;;3;;2;;2;2;1;2;2;2;2;2;2;2;8;2;6;3;1;2;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;1;3;3;3;;;;1;34;10;5;3;0;0;5;2;2;2;2;1;1;1;3;2
399;1;1;1;7;64;9;1;5;8;2;1;5;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;4;1;1;1;1;6;1;6;0;;;;;;0;2;;2;2;1;2;2;1;1;3;4;3;4;3;;;;;1;64;9;5;2;0;0;3;2;4;5;3;3;3;3;1;2
400;1;2;1;1;63;11;2;1;4;3;3;4;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;2;4;2;2;2;1;1;2;5;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;4;4;1;;;;1;63;11;7;4;1;0;5;1;3;2;1;1;2;2;1;1
401;1;1;1;9;54;6;3;7;7;3;1;8;3;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;2;1;1;1;1;1;1;1;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;54;6;5;2;0;0;5;2;1;1;2;1;1;1;1;1
402;1;2;1;5;68;6;4;2;5;3;5;1;2;2;;3;;2;;2;2;1;2;2;2;2;1;2;2;7;1;1;3;1;1;1;4;1;2;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;3;2;5;;;;1;68;6;;2;0;0;2;2;4;4;3;2;1;2;2;3
403;1;1;2;10;95;1;5;7;7;3;1;8;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;4;1;3;1;1;1;1;6;0;;;;;;0;4;2;2;1;2;2;2;2;1;2;3;3;3;3;;;;;1;95;1;5;2;0;0;4;2;2;5;3;1;3;3;1;2
404;1;2;1;10;75;1;5;7;7;6;1;6;7;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;6;1;1;2;1;1;2;6;0;;;;;;0;2;;2;2;2;2;2;1;2;2;3;1;3;1;;;;;1;75;1;3;1;0;0;6;2;2;2;2;1;1;1;1;1
405;1;1;1;5;87;9;4;1;5;7;1;8;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;1;2;1;1;1;1;1;5;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;5;;;;1;87;9;3;3;1;0;4;2;1;5;3;3;3;3;1;3
406;1;1;1;8;91;1;5;1;4;5;1;8;2;1;5;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;1;4;1;1;1;2;2;2;50;1;5;;;;8;4;;2;2;2;2;2;2;2;2;4;3;4;4;2;5;;;1;91;1;3;3;0;0;5;1;5;5;3;1;1;1;1;1
407;1;2;2;4;69;11;1;6;8;2;4;1;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;4;1;6;1;1;1;1;1;6;0;;;;;;0;5;2;2;2;3;3;2;2;2;2;3;3;4;3;;;;;1;69;11;3;2;1;0;5;1;5;4;1;2;2;2;1;3
408;1;2;1;1;64;9;4;1;6;1;1;4;6;2;;3;;2;;2;2;1;2;2;2;2;2;1;2;8;1;6;1;1;1;1;1;1;6;60;1;;;;;0;2;;3;2;2;2;2;2;2;2;1;2;2;2;5;;;;1;64;9;2;1;0;0;7;2;1;2;2;1;2;1;1;1
409;1;1;2;4;7;11;2;1;5;2;5;1;10;2;;3;;2;;1;2;1;1;1;2;2;2;2;2;7;1;2;1;1;2;1;1;2;6;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;2;2;3;2;3;;;;1;7;11;5;2;0;0;4;1;4;3;1;1;1;1;1;1
410;1;2;2;2;7;11;2;1;5;2;8;3;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;7;1;3;2;2;2;1;1;1;2;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;4;5;;;;1;7;11;6;2;0;0;6;1;2;3;1;1;1;1;1;1
411;1;2;1;3;13;12;4;1;3;3;9;6;10;2;;3;;2;;2;2;2;1;2;2;2;2;2;2;9;1;2;2;4;1;1;2;2;3;5;5;;;;;0;2;;2;2;2;2;2;2;2;2;4;2;4;4;3;;;;1;13;12;5;4;2;0;6;2;3;3;1;1;1;1;1;1
412;1;2;1;10;95;1;3;3;3;3;9;1;11;2;;3;;2;;2;2;2;2;1;2;2;2;2;2;7;2;2;2;1;1;1;1;1;3;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;3;4;2;;;;1;95;1;7;2;0;0;6;1;1;2;3;1;1;1;1;1
413;1;1;2;6;14;4;2;1;4;3;2;5;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;2;2;4;1;1;1;2;3;750;1;2;4;;;2;1;2;2;2;1;2;2;2;2;2;4;3;3;4;1;;;;1;14;4;6;4;2;0;5;1;5;5;3;3;3;3;1;1
414;1;1;2;2;75;1;5;1;5;1;1;8;5;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;2;1;1;2;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;2;17;9;6;3;0;0;6;1;3;2;2;1;3;1;1;2
415;1;3;2;10;29;8;3;7;7;1;1;8;6;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;4;2;1;1;1;1;1;5;50;2;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;29;8;5;1;0;1;6;1;3;3;1;3;3;2;1;3
416;1;1;1;10;75;1;5;7;7;3;8;3;10;1;6;3;;2;;2;2;1;1;2;2;2;2;1;2;7;1;2;1;1;1;1;1;1;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;3;3;;;;;2;46;10;6;2;0;1;6;2;2;2;3;1;1;1;1;1
417;1;2;1;2;13;12;4;1;3;2;4;8;5;2;;3;;2;;2;2;2;2;1;2;2;2;2;2;7;1;5;1;4;5;1;1;4;6;90;2;;;;;1;2;;3;2;3;2;2;3;2;2;3;3;3;1;3;;;;1;13;12;2;2;0;0;6;2;4;4;1;2;2;2;1;1
418;1;1;2;2;75;1;5;1;5;3;9;10;8;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;3;2;1;1;1;1;1;6;30;1;;;;;4;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;;;;1;75;1;4;5;3;0;4;2;2;1;2;2;2;2;1;2
419;1;2;2;3;59;5;2;6;8;2;1;9;8;1;2;3;;2;;1;1;1;2;1;2;2;1;2;2;10;3;3;2;2;1;1;1;1;4;0;;;;;;0;4;2;3;2;2;1;2;2;2;2;3;3;3;3;;;;;1;59;5;7;5;3;0;4;1;2;1;2;1;1;1;1;1
