SERIAL;JOURV5;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D42_0;D42_1;D42_2;D42_3;D42_4;D42_5;D42_6;D42_7;D42_8;D42_9;D42_10;D43;D44_0;D44_1;D44_2;D44_3;D44_4;D44_5;D45_0;D45_1;D45_2;D46Q_0;D46Q_1;D46Q_2;D46Q_3;D46Q_4;D46Q_5;D46Q_6;D46Q_7;D47Q_0;D47Q_1;D47Q_2;D47Q_3;D47Q_4;D47Q_5;D47Q_6;D47Q_7;D48;D49_0;D49_1;D49_2;D49_3;D49_4;D49_5;D49_6;D49_7;D50Q_0;D50Q_1;D50Q_2;D51Q_0;D51Q_1;D51Q_2
1144;2;1;2;2;85;7;1;4;5;2;4;3;6;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;7;2;6;5;1;2;1;1;2;6;150;1;2;;;;7;5;0;0;2;2;2;2;2;2;2;2;2;2;3;3;3;1;1;5;;;;1;85;7;3;1;0;0;6;3;3;;3;3;3;3;3;3;3;3;;3;3;3;3;3;2;2;1;1;2;4;8;8;2;2;2;5;2;6;7;5;5;2;7;4;1;3;2;5;2;5;2;5;2;;2;;0;2;0
1145;2;1;1;8;7;11;4;5;8;5;5;1;10;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;6;1;3;1;5;1;1;1;1;4;130;1;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;3;;;;;1;7;11;5;1;0;0;4;3;1;;2;3;2;3;3;2;2;2;3;3;3;3;2;2;2;3;2;3;2;2;5;3;3;3;1;;0;0;4;2;4;4;3;2;1;3;3;3;3;2;2;3;5;;1;;;1;
1146;2;2;1;4;85;7;1;1;6;7;1;2;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;2;1;1;1;2;0;;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;1;5;;;1;85;7;4;4;2;0;5;3;2;3;2;3;2;2;3;3;2;3;3;3;3;3;2;2;2;3;2;3;5;7;8;7;6;1;1;10;6;6;5;6;7;6;7;7;1;2;3;3;3;2;2;5;2;8;1;3;4;1;5
1147;2;2;2;2;43;11;2;4;5;1;4;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;9;1;3;1;1;1;1;1;1;3;0;;;;;;0;0;1;0;5;2;2;2;2;3;3;2;2;2;3;3;4;3;1;5;;;;1;43;11;1;1;0;0;3;4;4;;3;2;5;5;3;3;3;4;1;3;3;3;3;1;2;3;2;2;0;4;8;8;0;0;3;5;0;6;0;5;7;5;10;5;1;2;2;2;2;2;2;2;1;;1;;;4;
1148;2;1;1;9;14;4;4;7;7;2;4;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;5;2;4;1;1;2;2;3;40;1;;;;;1;0;0;0;4;;3;2;2;2;2;1;2;2;3;4;4;4;4;;;;;1;14;4;7;2;0;0;6;2;2;;3;3;3;3;3;3;2;3;2;3;3;3;3;2;1;4;2;1;2;8;8;7;4;3;5;6;3;7;6;7;7;7;6;6;1;2;2;2;3;2;2;1;2;;1;;;1;0
1149;2;1;2;4;51;6;4;6;8;2;1;2;8;2;;4;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;1;2;1;1;2;2;0;;;;;;0;0;0;0;4;2;2;2;2;2;2;1;2;2;3;2;3;3;1;;;;;1;51;6;3;4;2;0;4;3;2;;2;2;2;3;3;1;3;2;2;2;2;2;2;2;2;2;3;3;5;7;7;8;5;0;0;2;5;8;7;6;5;8;7;6;2;5;3;5;5;5;5;5;4;;2;5;;3;8
1150;2;1;1;8;3;11;3;1;5;1;9;10;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;5;1;2;1;2;5;0;;;;;;0;2;0;0;4;;1;2;2;2;2;1;2;2;3;4;4;3;4;1;;;;1;3;11;4;1;0;0;4;3;5;3;2;3;1;3;1;2;3;3;3;2;3;3;4;1;1;2;2;2;5;7;7;8;6;7;0;0;8;8;8;8;8;5;8;8;1;2;2;1;4;2;2;1;1;9;1;;9;1;
1151;2;1;2;10;60;5;2;7;7;5;1;6;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;1;1;5;1;2;2;0;;;;;;0;0;3;0;3;2;2;2;2;2;2;2;2;2;3;3;2;3;3;;;;;1;60;5;3;1;0;1;1;1;1;;1;1;2;2;1;1;1;2;2;3;1;1;1;1;1;2;1;1;3;5;7;6;7;4;4;7;3;7;9;6;6;6;7;6;1;3;2;3;2;5;2;5;5;;2;;;2;
1152;2;1;2;9;20;12;3;7;7;5;1;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;2;0;;;;;;0;0;0;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;20;12;3;1;0;0;3;3;1;;2;2;2;1;1;1;2;2;2;3;3;2;3;3;3;2;2;1;0;8;8;8;5;3;5;6;0;8;5;3;5;3;7;5;2;1;1;2;2;2;1;2;2;;1;;;2;
1153;2;2;1;6;16;9;1;1;3;2;7;5;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;2;30;1;;;;;10;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;3;;;;1;16;9;8;2;2;0;5;3;2;3;2;3;3;3;3;2;3;3;2;3;3;3;3;3;3;2;4;3;9;10;10;8;8;8;0;5;9;10;9;8;8;9;8;7;2;2;2;2;2;2;2;2;2;8;1;3;7;1;5
1154;2;1;1;2;75;1;5;3;2;2;5;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;4;1;2;3;2;60;2;;;;;0;1;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;3;;;;2;59;5;8;5;1;0;6;3;3;1;2;3;2;2;2;1;3;2;1;2;2;2;3;3;3;5;1;1;3;6;6;6;4;4;1;4;5;7;7;5;7;7;6;6;2;2;2;2;2;3;2;2;2;10;1;;5;2;
1155;2;1;2;2;56;8;3;1;3;2;7;4;2;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;7;2;3;1;1;1;1;1;1;6;196;1;2;;;;2;0;0;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;2;3;;;;1;56;8;8;4;2;0;6;3;3;2;3;3;3;3;1;1;3;2;2;3;2;1;2;2;1;3;2;1;6;8;9;8;6;4;3;7;4;;;;7;8;5;3;1;3;4;2;3;4;2;3;2;9;1;5;9;3;14
1156;2;1;2;10;65;10;1;1;5;1;8;4;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1;1;1;1;1;1;5;0;;;;;;0;0;1;0;1;2;2;2;2;2;2;2;1;2;4;4;4;4;4;5;;;;1;65;10;2;1;0;0;3;2;1;3;3;3;3;1;1;2;1;1;2;3;3;3;3;1;1;5;1;1;0;2;8;8;5;2;2;2;0;5;8;0;8;8;8;4;1;3;4;3;3;4;4;4;4;6;1;;0;1;
1157;2;1;1;10;30;10;4;7;7;3;1;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;2;1;90;1;;;;;0;0;0;0;4;;1;2;2;2;2;1;2;2;4;4;4;4;3;;;;;1;30;10;3;2;0;0;5;1;1;;1;1;1;3;1;1;1;1;3;3;3;3;3;3;3;2;2;2;;;;;;;;;0;0;4;0;5;0;2;0;1;4;3;4;3;3;4;4;4;;2;;;2;
1158;2;2;2;10;62;5;4;1;5;7;1;2;5;2;;3;3;;2;2;;2;2;2;2;2;1;2;1;1;2;2;8;2;1;2;1;1;1;1;1;2;150;3;;;;;2;0;2;0;4;1;2;2;2;2;2;2;2;2;3;2;3;1;3;6;;;;1;62;5;7;4;2;0;4;1;1;2;2;1;2;2;3;2;1;2;2;3;2;1;2;1;3;4;1;1;;7;10;;;;;;;;;;;;;;2;1;3;5;3;3;5;5;5;8;4;2;0;4;15
1159;2;1;2;6;83;12;2;1;5;2;8;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;2;1;1;1;1;3;5;600;1;4;;;;1;1;0;2;3;2;2;2;2;2;2;2;2;2;4;4;1;2;2;1;3;;;1;83;12;6;3;0;1;6;3;2;2;3;2;3;3;2;2;3;3;2;3;3;2;2;2;1;2;2;2;1;2;5;4;3;2;3;2;2;4;5;4;8;4;6;6;1;3;3;5;2;4;3;5;5;8;;;8;1;
1160;2;1;1;2;95;1;5;1;5;1;9;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;2;1;1;2;1;2;120;1;;;;;30;0;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;2;4;5;;;;1;95;1;6;3;0;0;5;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;6;9;7;6;4;3;7;6;7;6;6;8;6;6;2;2;3;2;2;2;3;2;2;3;7;0;0;;1;
1161;2;1;1;9;14;4;4;7;7;3;1;7;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;3;2;1;1;1;2;1;120;1;;;;;0;0;0;0;3;;2;2;1;2;2;2;2;2;2;3;3;3;3;;;;;1;14;4;3;2;0;0;4;3;2;;3;3;2;3;3;2;2;3;3;2;2;2;3;2;3;4;2;2;3;6;7;6;5;4;1;5;1;7;4;4;2;3;1;2;2;2;2;2;2;2;2;2;2;5;1;;1;1;
1162;2;1;2;4;26;11;3;1;4;1;3;2;5;2;;4;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;2;2;1;2;2;4;0;;;;;;3;0;4;0;1;2;2;2;2;2;2;2;2;2;4;4;4;3;3;3;5;;;1;26;11;8;2;0;0;6;2;2;1;1;3;3;2;1;2;3;3;2;3;1;1;2;1;1;3;1;2;0;8;6;9;5;4;5;7;0;6;5;5;6;2;4;5;2;2;2;2;2;2;2;2;2;8;1;;1;2;
1163;2;1;1;10;31;10;2;7;7;3;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;2;3;3;1;1;1;2;5;90;1;2;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;31;10;6;3;0;0;6;3;3;;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;1;3;4;8;8;7;8;7;6;3;6;8;8;8;8;8;7;8;7;2;1;1;1;1;1;1;1;1;0;1;;;1;
1164;2;2;2;2;76;4;2;1;5;7;3;7;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;2;1;2;1;1;2;2;0;;;;;;1;0;0;4;2;1;2;2;2;2;2;2;2;2;4;4;4;4;2;4;;;;1;76;4;5;1;0;0;4;2;1;2;3;4;3;2;1;1;3;2;2;3;3;2;3;3;3;5;1;1;8;6;0;8;7;4;0;7;7;7;6;7;3;7;6;6;2;3;3;3;3;4;2;2;4;10;1;;10;1;
1165;2;2;1;10;80;5;2;7;7;3;1;6;2;1;5;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;3;;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;80;5;5;2;0;1;6;3;3;;2;4;3;3;3;2;3;3;3;3;3;4;3;3;3;1;1;2;9;9;7;8;8;5;1;5;9;9;9;9;9;6;8;9;2;2;3;2;3;2;3;1;3;;1;;;1;
1166;2;1;1;9;18;2;2;1;4;3;4;5;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;4;4;1;1;1;2;4;0;;;;;;0;0;0;0;4;;2;2;3;2;2;3;2;2;4;4;4;4;4;3;;;;1;18;2;3;1;0;1;5;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;3;2;2;8;7;9;8;7;5;0;10;5;8;8;5;5;5;8;5;2;2;2;5;2;3;3;5;3;8;;;8;;
1167;2;1;1;1;92;1;5;4;5;1;1;7;4;2;;1;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;2;2;2;2;2;1;234;1;;;;;2;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;3;3;1;6;;;;1;92;1;;4;0;1;3;3;3;;3;3;2;3;3;3;1;3;3;3;3;2;3;2;1;3;3;3;1;5;10;10;;;0;;1;6;3;3;5;5;;;1;2;2;3;1;3;2;3;4;2;4;;;4;
1168;2;2;1;2;30;10;2;1;4;3;1;2;5;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;7;1;1;1;2;3;1;1;2;5;90;1;2;;;;2;2;0;1;2;;2;2;2;2;2;2;2;2;4;3;4;3;4;3;;;;1;30;10;2;2;0;0;6;1;2;2;1;2;1;3;3;2;1;1;2;2;2;1;2;1;2;4;2;2;7;10;9;10;6;7;2;6;5;10;8;9;8;6;6;4;2;2;5;2;4;5;5;3;3;9;1;;;2;
1169;2;2;1;10;34;10;1;7;7;5;3;8;4;2;;2;4;;2;2;;2;2;2;2;2;2;2;2;3;2;3;5;1;4;1;1;1;1;1;2;3;180;3;;;;;1;1;0;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;4;;;;;1;34;10;3;1;0;0;5;3;3;;3;3;3;3;3;3;3;3;;2;3;3;3;1;2;3;3;3;1;5;8;8;6;5;0;10;2;5;7;5;5;5;5;5;1;2;2;5;4;4;2;5;5;;1;;;1;
1170;2;1;2;7;44;7;2;2;5;3;8;1;5;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;2;2;75;1;;;;;0;0;0;3;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;44;7;6;2;0;0;2;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;3;3;2;2;2;5;10;10;10;8;6;5;10;7;10;10;8;8;10;9;7;2;5;5;5;5;5;5;5;5;6;3;;6;3;
1171;2;1;2;5;75;1;5;1;5;4;1;8;2;2;;2;2;;2;1;38.1;2;1;1;2;2;2;2;2;2;2;2;7;2;3;1;1;1;1;1;2;6;150;1;2;;;;8;0;0;0;2;2;2;2;1;2;2;2;1;2;4;3;4;4;4;3;;;;1;75;1;4;2;0;0;4;1;1;1;1;1;2;2;1;1;1;1;2;3;1;1;2;2;3;3;1;1;2;7;8;7;2;5;0;2;0;8;4;6;6;0;6;5;2;2;4;3;3;4;2;2;3;8;1;3;8;1;3
1172;2;1;1;5;38;11;4;1;4;1;1;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;4;2;1;1;1;2;0;;;;;;0;0;0;5;3;;2;2;2;2;2;2;2;1;4;4;4;4;4;4;;;;1;38;11;3;1;0;0;5;3;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;2;2;4;2;3;5;6;6;6;4;2;0;5;5;;5;5;3;;2;4;1;5;4;3;4;3;3;3;4;;2;;;2;
1173;2;1;2;9;33;9;3;7;7;5;8;4;10;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;8;1;3;3;1;1;1;1;2;4;0;;;;;;0;0;0;0;1;2;2;2;2;2;2;1;2;2;1;1;4;1;1;;;;;1;33;9;4;2;0;1;4;3;2;;3;3;2;2;3;3;3;3;3;3;3;2;2;2;2;2;3;3;4;7;8;8;4;4;3;4;6;9;8;7;5;8;8;5;2;5;5;5;3;3;5;5;5;;3;;;4;
1174;2;1;2;4;83;12;3;1;5;3;6;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;2;1;60;2;;;;;0;0;0;4;2;2;2;2;2;2;2;2;2;2;3;3;4;4;4;1;;;;1;83;12;4;2;0;0;5;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;2;1;4;2;5;6;7;7;6;7;2;5;6;7;7;7;3;;7;;2;2;2;2;2;2;2;5;5;10;1;;10;1;
1175;2;1;1;5;2;5;1;1;4;7;1;8;4;2;;2;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;3;5;2;2;2;2;4;1;5;;;;;0;3;0;0;4;;2;2;2;2;2;2;2;2;4;3;4;4;3;3;;;;1;2;5;7;2;0;2;5;3;2;2;2;2;2;2;2;2;2;2;1;4;2;3;2;2;1;2;3;4;3;7;7;7;7;5;4;7;3;7;5;4;4;6;4;2;2;3;3;3;3;3;3;3;3;9;1;;9;2;0
1176;2;1;1;10;17;9;1;7;7;3;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;2;3;1;1;1;1;3;0;;;;;;2;0;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;17;9;6;2;0;0;5;3;3;;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;3;2;3;7;7;7;7;6;7;0;6;6;6;6;6;6;6;6;5;2;3;5;5;2;2;2;3;3;;1;;;1;
1177;2;3;1;6;72;7;4;1;4;3;7;4;3;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;5;1;1;1;3;2;780;4;;;;;16;0;0;15;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;8;;;1;72;7;7;5;2;0;6;2;1;1;1;2;2;1;1;2;2;1;2;3;3;3;3;2;2;4;1;1;5;7;9;6;6;6;6;7;0;0;0;0;0;0;0;0;2;3;4;3;2;2;2;2;2;9;;2;12;1;2
1178;2;1;1;9;59;5;4;1;3;2;9;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;1;1;1;1;6;30;1;;;;;1;1;0;0;2;;2;2;2;2;2;2;1;1;4;4;4;4;2;3;;;;1;59;5;3;2;0;0;4;3;3;3;3;3;3;3;3;3;3;3;;3;2;3;3;3;3;5;1;2;7;7;5;7;5;4;1;7;7;7;7;9;9;9;9;9;2;2;1;1;1;1;1;1;1;8;;;6;;
1179;2;1;1;1;91;1;5;8;8;1;11;11;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;3;1;1;1;1;1;1;2;2;60;3;4;;;;2;0;7;1;2;;2;2;2;2;2;2;2;2;2;3;2;2;3;;;;;1;91;1;5;4;0;0;4;3;2;;3;2;4;4;2;2;4;2;2;3;4;2;2;2;2;2;2;2;7;9;10;10;6;7;4;2;8;8;8;8;6;7;4;6;2;5;3;5;4;5;5;5;3;12;;;;;
1180;2;1;1;10;72;7;4;7;7;3;1;7;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;2;3;60;1;;;;;150;0;0;0;4;;1;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;72;7;6;2;0;0;6;3;3;;2;2;2;3;2;1;2;2;2;3;3;3;3;3;2;1;3;3;7;6;8;8;7;3;1;5;7;6;8;6;7;8;7;7;2;2;2;1;2;2;2;5;2;0;2;0;0;1;0
1181;2;1;2;8;50;4;3;1;5;3;8;1;5;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;5;50;2;;;;;0;0;0;0;2;2;2;2;1;2;2;2;2;2;4;3;3;4;3;5;;;;1;50;4;7;2;0;0;2;2;1;2;1;1;1;2;1;1;1;1;2;3;2;3;4;4;2;3;1;1;8;7;9;9;7;7;3;8;8;;7;7;9;1;8;1;2;3;5;5;4;3;2;5;2;7;1;;0;2;
1182;2;1;1;9;1;11;1;7;7;7;8;6;3;2;;2;3;;2;2;;3;2;2;2;2;2;2;2;2;2;2;3;1;3;1;1;2;1;2;3;4;270;1;2;;;;1;0;0;0;3;;2;3;2;2;2;2;2;2;4;4;4;4;4;;;;;1;1;11;4;2;0;0;6;3;3;;3;3;3;3;2;2;3;3;2;3;3;3;3;3;2;3;2;1;0;1;6;6;7;2;3;5;3;5;7;5;9;6;8;7;1;2;4;2;4;2;3;3;2;;1;;;1;
1183;2;1;2;8;3;11;3;1;5;3;1;9;2;2;;1;3;;2;2;;3;3;3;3;3;3;3;3;3;3;3;10;1;3;2;1;1;1;5;2;2;0;;;;;;0;0;1;1;3;2;2;2;2;2;2;1;2;2;1;1;1;2;1;3;;;;1;3;11;3;2;0;0;3;1;1;3;1;2;1;1;1;1;1;3;2;1;1;1;2;1;2;4;1;1;1;4;4;4;1;2;1;1;1;2;5;2;2;5;5;2;1;3;3;5;3;3;2;5;5;7;2;0;5;4;
1184;2;1;2;1;49;7;4;8;8;1;4;5;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;2;2;1;1;1;1;2;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;1;2;4;3;;;;;2;53;7;5;4;0;0;6;2;2;;1;2;1;2;2;3;1;2;3;3;2;2;3;2;2;5;2;2;7;9;9;9;7;4;0;5;8;8;8;8;7;8;8;8;2;2;3;2;2;3;2;2;3;7;1;;4;1;
1185;2;1;2;6;15;11;1;2;4;2;1;3;4;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;9;1;2;2;2;2;1;1;1;1;0;;;;;;0;0;0;0;4;2;2;2;2;2;2;1;3;2;3;1;1;2;1;3;5;;;1;15;11;4;4;2;0;6;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;2;2;5;4;1;2;5;8;8;8;6;6;6;1;3;5;3;3;2;4;3;1;3;3;5;2;3;2;5;5;6;3;5;2;5;12
1186;2;1;2;6;54;6;4;2;6;1;5;1;2;2;;2;3;;1;2;;2;2;1;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;150;2;3;;;;0;0;1;1;3;2;2;2;2;2;2;2;2;2;3;1;2;3;1;1;5;;;1;54;6;2;1;0;0;3;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;0;0;7;2;0;3;8;9;0;0;0;0;1;0;0;0;1;4;4;4;3;4;4;4;4;6;2;;2;4;
1187;2;2;2;6;33;9;4;1;4;7;1;4;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;4;1;1;1;1;1;2;6;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;;;;1;33;9;3;2;0;0;5;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;2;4;2;3;5;4;6;6;5;4;4;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;5;5;8;1;;8;1;
1188;2;1;1;10;83;12;3;7;7;3;1;6;8;1;5;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;2;1;1;1;2;6;90;1;2;;;;0;10;0;0;2;;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;83;12;4;2;0;2;6;3;1;;1;2;3;1;1;1;1;2;2;2;2;2;3;2;3;3;1;1;0;1;10;10;7;0;2;8;0;2;7;7;5;5;8;8;2;3;4;2;3;2;2;5;2;;2;;;2;
1189;2;1;2;8;68;6;3;1;3;5;1;6;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;0;;;;;;0;0;1;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;;;;1;68;6;6;1;0;0;6;3;3;2;2;3;3;2;3;3;3;2;3;2;3;2;3;2;2;3;2;2;2;7;8;8;2;3;0;3;3;5;3;3;5;3;3;3;2;2;3;2;2;3;2;2;2;8;1;;9;1;
1190;2;1;1;10;67;6;2;7;7;1;1;9;2;2;;2;3;;2;2;;2;3;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;1;0;;;;;;0;1;1;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;67;6;3;1;0;0;3;3;2;;2;3;1;3;3;1;1;2;2;3;3;2;3;1;1;1;3;3;0;2;8;1;3;0;0;4;0;2;7;0;;;5;;1;4;3;5;4;4;3;2;2;;3;;;3;
1191;2;1;2;3;64;9;4;4;3;3;1;3;6;2;;4;3;;2;2;;2;2;1;2;1;1;2;1;1;2;2;9;1;1;1;1;1;1;1;1;3;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;;;;2;64;9;5;2;0;0;6;3;1;;1;1;1;1;1;2;1;1;3;3;1;3;3;1;3;3;1;1;7;8;9;9;6;8;0;9;7;7;7;6;;;6;;2;5;4;3;2;3;2;5;2;10;1;;;7;
1192;2;2;1;8;13;12;4;1;4;3;6;2;11;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;1;1;4;90;1;3;;;;0;0;0;0;4;;2;2;2;2;2;1;2;2;4;4;4;4;4;4;;;;1;13;12;3;3;0;0;4;1;1;3;3;2;2;3;3;2;3;1;3;3;2;3;2;3;3;2;1;1;10;9;10;4;8;7;2;5;10;4;8;9;7;8;7;5;2;4;3;2;3;2;2;2;2;8;1;0;0;2;0
1193;2;1;1;10;13;12;4;7;7;3;1;10;3;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;3;1;1;1;1;3;10;5;;;;;0;0;0;0;4;;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;13;12;4;2;0;0;3;3;1;;2;3;2;2;1;2;2;2;3;3;2;3;3;1;1;3;3;3;2;10;10;8;6;6;2;10;4;;8;8;8;8;8;8;1;2;2;2;2;2;2;2;2;;;;;;
1194;2;1;2;9;10;6;4;7;7;3;3;2;10;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;1;1;3;4;1;1;1;4;1;2;600;1;2;3;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;3;3;1;3;4;;;;;1;10;6;5;2;0;0;3;3;3;;2;3;1;1;2;2;1;3;3;3;3;2;3;1;1;3;3;3;1;3;8;2;5;2;3;5;1;2;5;2;5;5;7;2;2;4;4;3;1;2;2;2;5;0;1;0;0;1;0
1195;2;1;2;9;42;11;4;1;5;3;9;10;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;2;3;210;1;3;;;;30;0;2;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;;;;1;42;11;7;2;0;0;4;2;1;2;1;1;2;2;1;2;1;2;3;3;1;3;2;1;1;1;1;1;7;2;9;8;3;2;0;5;8;5;6;9;8;8;8;3;2;2;4;2;2;3;2;2;3;9;1;;8;1;
1196;2;1;1;9;22;8;3;1;4;1;2;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;6;3;1;5;1;1;5;50;1;;;;;2;2;0;0;2;;2;2;2;2;2;2;2;2;2;4;4;1;4;3;;;;1;22;8;2;1;0;0;4;1;1;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;0;3;6;5;6;3;3;5;0;3;6;5;5;5;5;5;1;2;3;2;3;3;3;5;5;8;1;;8;2;
