SERIAL;JOURV5;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D42_0;D42_1;D42_2;D42_3;D42_4;D42_5;D42_6;D42_7;D42_8;D42_9;D42_10;D43;D44_0;D44_1;D44_2;D44_3;D44_4;D44_5;D45_0;D45_1;D45_2;D46Q_0;D46Q_1;D46Q_2;D46Q_3;D46Q_4;D46Q_5;D46Q_6;D46Q_7;D47Q_0;D47Q_1;D47Q_2;D47Q_3;D47Q_4;D47Q_5;D47Q_6;D47Q_7;D48;D49_0;D49_1;D49_2;D49_3;D49_4;D49_5;D49_6;D49_7;D50Q_0;D50Q_1;D50Q_2;D51Q_0;D51Q_1;D51Q_2
11;1;1;1;9;77;1;1;7;7;5;2;9;8;2;;2;2;;2;2;;2;2;2;2;2;2;2;1;2;2;2;8;2;2;1;1;1;1;1;2;1;0;;;;;;0;1;0;0;4;;2;2;2;2;2;2;2;2;4;2;4;3;1;;;;;1;77;1;7;1;0;1;4;2;3;;2;3;3;3;3;2;3;3;2;3;3;2;3;3;2;1;3;5;1;6;8;9;1;2;1;7;3;8;5;5;;5;;;1;2;3;2;3;2;3;2;2;;2;;0;0;0
12;1;1;2;6;95;1;5;1;4;3;5;10;7;2;;2;2;;1;2;;2;2;2;2;2;2;2;2;1;2;2;5;2;4;3;6;3;1;1;2;3;240;1;2;;;;100;0;1;1;3;2;2;2;2;2;2;2;2;2;3;1;2;3;1;3;;;;1;95;1;5;4;1;0;6;1;3;2;3;2;1;2;3;3;2;2;3;2;2;2;2;1;1;3;2;2;2;8;9;9;5;2;1;5;0;0;0;0;0;0;0;0;2;2;3;2;3;3;2;3;2;10;1;1;12;1;1
13;1;1;1;3;96;12;1;3;2;2;1;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;3;1;2;2;60;5;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;3;3;2;;;;1;96;12;5;4;2;0;3;2;2;3;3;2;2;3;3;2;3;3;3;3;3;3;3;3;3;4;1;1;8;9;9;9;5;6;0;0;8;8;6;7;4;8;4;2;2;2;2;2;2;2;2;2;2;8;10;10;10;10;10
14;1;1;1;6;68;6;4;1;5;3;5;2;8;2;;2;1;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;120;3;;;;;3;1;1;1;4;;1;2;1;2;2;2;2;2;3;2;2;3;2;1;;;;1;68;6;6;5;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;9;2;5;4;2;2;5;3;4;2;3;4;7;4;4;1;1;1;1;1;1;1;1;1;8;3;3;8;6;6
15;1;2;1;3;75;1;5;1;3;4;1;6;9;1;3;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;2;1;1;1;1;2;6;60;2;;;;;1;0;0;0;2;;2;2;2;2;3;3;2;2;3;3;3;3;3;3;;;;1;75;1;2;2;1;0;6;3;1;3;3;2;2;2;3;2;2;2;2;3;2;3;3;1;1;1;2;3;6;7;8;7;6;3;3;5;5;7;6;7;7;4;5;4;2;2;3;3;2;3;2;3;2;8;1;4;6;1;13
16;1;2;1;1;45;2;4;1;5;3;1;4;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;1;25;1;;;;;3;0;0;0;2;;2;2;1;2;2;2;2;2;3;3;4;3;2;5;;;;1;45;2;5;5;3;0;5;2;1;2;1;2;3;1;2;2;2;3;3;3;4;3;2;1;1;4;2;2;5;6;8;10;6;5;3;3;5;6;5;6;8;9;6;4;1;4;4;1;2;4;1;2;2;8;2;4;0;4;12
17;1;2;2;3;91;1;5;1;5;1;8;1;11;2;;2;3;;2;2;;2;2;1;1;2;2;2;2;2;2;2;5;1;1;3;2;1;5;1;6;1;480;1;3;4;;;5;0;0;30;4;2;2;2;1;2;2;2;2;2;2;1;4;3;1;1;;;;1;91;1;1;1;0;0;3;3;1;1;1;3;2;2;3;1;3;1;2;3;3;3;3;3;3;3;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;3;5;5;4;5;5;4;8;2;;8;3;
18;1;1;1;1;35;8;3;1;4;1;1;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;2;6;0;;;;;;0;0;0;10;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;3;5;;1;35;8;3;1;0;0;6;2;3;1;3;3;1;3;1;3;3;3;2;3;3;2;3;1;1;1;4;2;8;10;10;10;7;4;0;4;8;8;8;9;8;3;7;7;2;1;1;1;1;1;1;1;1;8;1;;8;1;
19;1;2;2;5;67;6;1;1;5;3;1;8;9;1;3;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;4;1;480;4;;;;;1;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;5;;;;1;67;6;4;2;1;0;4;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;4;8;10;8;8;7;10;10;;;;;;;;;2;5;5;5;5;5;5;5;5;8;1;1;8;2;2
20;1;1;1;1;38;11;1;4;8;1;9;10;5;1;3;;2;;2;2;;1;2;1;2;1;2;2;2;2;1;2;7;1;6;2;1;1;1;1;1;6;0;;;;;;0;1;0;0;2;;2;2;2;2;2;2;2;2;3;3;2;3;3;;;;;1;38;11;4;3;0;0;5;1;2;;2;2;2;3;3;3;2;1;3;3;3;2;2;1;2;1;5;5;0;4;6;8;2;1;0;1;0;5;4;0;5;4;5;2;2;2;2;2;3;1;3;2;3;;1;;;2;
21;1;2;2;1;34;10;4;8;8;1;3;8;4;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;8;3;2;6;3;1;2;1;1;2;0;;;;;;0;0;0;0;1;2;2;2;2;2;2;2;3;2;1;1;2;1;1;;;;;2;31;10;9;3;0;0;4;1;2;;2;2;1;2;1;1;2;1;2;3;3;2;2;1;1;3;1;1;6;8;7;8;6;4;3;5;7;8;8;5;6;7;6;8;2;3;4;5;2;4;2;2;2;8;1;;3;;
22;1;2;1;1;29;8;2;1;6;1;5;9;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;3;3;2;4;4;3;6;1;6;0;;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;1;1;2;1;1;5;;;;1;29;8;4;1;0;0;4;2;3;3;4;2;4;3;5;4;3;2;1;2;2;2;3;3;2;3;2;2;1;5;5;4;9;2;2;6;0;3;7;1;3;0;2;2;2;3;2;5;3;3;2;5;2;8;1;0;;1;
23;1;1;1;10;59;5;2;7;7;3;3;2;1;2;;2;4;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;1;1;1;1;1;2;150;2;;;;;0;2;5;0;3;;1;2;2;2;2;1;2;2;3;4;4;4;4;;;;;1;59;5;6;3;1;0;3;3;1;;2;2;2;2;2;1;1;2;2;3;2;2;1;1;2;2;2;1;1;4;10;7;8;5;4;8;2;4;3;3;6;5;3;4;2;1;2;2;1;2;2;2;2;4;2;4;2;2;5
24;1;2;2;3;60;5;1;1;4;3;1;8;7;2;;2;3;;2;2;;2;3;3;2;2;2;2;2;2;2;2;9;1;2;2;1;1;2;1;1;2;0;;;;;;0;0;0;0;2;2;2;2;1;2;2;2;2;2;4;4;3;4;3;3;;;;1;60;5;6;5;3;0;6;3;1;3;2;2;3;3;3;2;3;3;3;2;5;2;2;1;2;3;2;2;8;9;9;9;8;8;6;5;5;5;6;6;5;4;6;4;2;2;3;3;2;3;2;2;2;9;1;5;2;2;12
25;1;1;2;9;78;1;2;7;7;3;1;7;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;1;1;1;1;6;80;1;;;;;0;5;1;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;78;1;7;2;0;1;5;3;3;;3;3;3;3;3;3;3;3;;2;2;2;3;2;1;4;1;1;5;5;7;7;5;4;0;5;7;7;7;7;7;7;7;5;2;2;4;2;2;3;2;1;2;;1;;;1;
26;1;1;2;3;94;1;5;1;4;3;5;6;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;1;1;2;2;2;1;6;0;;;;;;0;0;0;0;4;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;;;;1;94;1;7;4;2;0;5;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2;2;2;3;3;2;2;8;5;2;2;1;5;1;1;1;0;0;5;1;0;1;3;4;2;4;4;4;4;4;8;1;3;0;2;12
27;1;3;1;9;56;8;1;7;7;3;6;2;1;2;;2;3;;2;2;;2;2;1;1;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;2;3;180;1;2;3;;;6;3;7;0;3;;2;1;2;2;2;2;2;2;3;3;3;3;3;;;;;1;56;8;6;4;1;0;2;3;1;;1;3;3;3;2;2;2;3;3;2;2;2;3;1;1;1;2;2;6;6;7;6;6;5;5;6;6;5;8;8;8;6;8;8;1;2;3;2;2;2;2;3;2;;;;;;
28;1;2;2;4;85;7;2;1;5;2;1;7;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;1;1;2;2;1;1;6;1;480;1;4;;;;4;0;0;60;1;2;2;2;2;2;2;2;1;2;4;4;4;4;1;1;;;;1;85;7;10;3;0;2;6;3;1;2;2;3;2;3;3;2;2;1;2;3;3;3;3;3;2;3;2;2;4;6;6;7;5;3;4;6;2;6;3;3;4;3;3;4;1;3;3;5;3;5;5;5;5;8;1;;8;2;
29;1;2;2;3;79;9;2;2;5;2;2;10;8;2;;2;1;;2;2;;2;2;1;2;1;2;2;2;2;2;2;8;1;1;1;1;1;1;1;2;1;90;1;2;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1;5;;;;1;79;9;4;2;2;0;3;1;1;4;2;1;4;2;2;2;2;3;2;2;1;1;3;1;2;1;1;1;1;5;7;7;5;2;0;7;1;5;0;5;5;7;5;4;1;4;3;4;4;4;2;2;3;7;2;1;0;3;6
30;1;2;1;9;13;12;4;7;7;2;6;5;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;2;2;2;45;1;2;;;;0;0;0;0;2;;2;2;3;2;2;2;2;2;3;3;4;3;3;;;;;1;13;12;3;2;0;0;6;3;2;;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;;;;2;5;5;5;5;5;5;5;5;;;;;;
31;1;1;1;9;31;10;4;1;4;3;1;9;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;1;4;2;1;1;1;2;5;5;;;;;1;0;0;0;2;;2;2;2;2;2;3;3;2;1;2;2;2;2;6;;;;1;31;10;4;3;1;0;5;3;1;1;2;3;2;1;2;1;2;2;2;1;3;3;1;1;1;2;2;1;4;5;7;6;6;6;4;7;4;7;6;6;6;4;6;6;2;3;2;2;2;2;2;2;3;1;2;3;1;2;4
32;1;2;2;1;56;8;1;8;8;1;1;6;2;2;;2;3;;2;1;0.0;2;2;2;2;1;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;;;;;1;56;8;8;5;1;0;4;2;1;;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1;2;2;1;9;7;9;8;7;5;5;7;9;7;8;9;8;6;8;7;2;2;3;3;3;3;2;3;2;8;1;;5;2;
33;1;1;1;9;49;7;3;7;7;3;8;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;3;3;1;1;2;2;2;120;3;5;;;;1;0;1;0;4;;2;2;2;2;2;1;2;2;1;2;3;1;1;;;;;1;49;7;5;2;0;0;1;3;1;;2;3;2;2;1;1;1;1;2;3;2;1;3;3;1;4;1;1;0;2;9;9;2;1;6;6;0;2;4;6;7;7;7;6;1;2;2;2;2;2;2;2;2;;2;;;2;
34;1;2;1;1;1;11;1;8;8;1;1;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;2;1;2;1;1;1;1;60;2;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;4;4;;;;;1;1;11;8;4;2;0;5;2;2;;1;4;5;5;2;2;3;2;2;2;1;2;3;2;2;3;2;1;9;10;10;10;8;9;5;9;9;8;7;6;7;5;5;3;2;2;2;2;1;2;1;2;2;;2;;;2;
35;1;1;2;7;78;1;1;1;3;7;1;7;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;1;1;1;1;1;2;2;60;1;;;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;4;3;3;3;1;3;;;;1;78;1;5;3;0;0;6;3;3;1;3;3;4;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;6;1;1;5;2;1
36;1;1;2;9;30;10;1;7;7;5;8;4;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;2;15;1;;;;;0;0;1;0;2;2;2;2;2;2;2;2;2;2;3;3;4;4;4;;;;;1;30;10;3;2;0;0;3;3;2;;3;3;3;3;2;3;3;3;2;3;3;2;3;2;2;1;1;1;0;0;10;5;0;0;5;10;0;0;4;4;3;6;6;2;1;3;3;3;3;4;3;4;4;;2;;;2;
37;1;2;2;6;69;11;4;4;5;1;1;10;5;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;8;1;3;1;1;1;1;1;1;3;75;1;2;;;;0;0;1;0;5;2;2;2;2;2;2;2;2;2;3;1;4;3;3;5;;;;1;69;11;4;2;1;0;4;3;3;;3;3;3;3;3;3;3;3;;3;3;1;3;3;3;3;3;3;4;;6;6;5;6;;6;5;6;5;5;5;7;6;6;1;5;5;5;5;5;5;5;5;8;1;2;;2;14
38;1;1;2;9;29;8;4;7;7;3;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;3;60;3;;;;;1;0;1;0;4;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;29;8;6;2;0;0;5;3;1;;3;3;2;2;3;2;2;2;2;3;2;1;3;2;2;2;2;2;6;4;7;7;5;4;3;5;5;5;6;5;6;7;7;5;2;2;3;1;3;2;2;3;2;;1;;;1;
39;1;2;2;9;95;1;5;7;7;5;1;5;4;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;1;1;1;2;3;210;1;2;;;;0;2;0;0;4;2;2;2;2;2;2;2;2;2;3;2;2;3;1;;;;;1;95;1;3;1;0;0;3;2;1;;1;1;2;2;2;2;1;1;1;2;1;1;1;1;1;4;2;1;1;1;9;8;6;7;0;8;0;0;6;0;7;4;3;5;1;3;4;3;2;4;2;3;4;;3;;;5;
40;3;1;1;9;32;10;2;7;7;3;4;3;8;1;5;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;5;1;4;3;1;1;2;4;0;;;;;;0;30;5;0;3;;2;3;2;2;2;1;2;2;4;3;4;4;3;;;;;1;32;10;3;2;0;0;5;5;3;;3;5;1;4;2;1;3;1;3;4;1;3;2;2;1;1;1;1;2;;7;7;;4;1;;0;0;4;1;4;0;2;;2;2;1;3;2;3;1;2;3;;1;;;;
41;1;2;2;1;44;7;2;1;5;3;1;5;9;1;2;;3;;2;2;;2;2;2;3;2;2;2;2;2;2;2;8;1;1;1;1;2;1;1;2;2;30;1;;;;;0;0;0;3;2;2;2;2;2;3;2;2;2;2;4;4;4;4;4;1;;;;1;44;7;6;2;0;0;2;2;1;2;1;1;1;1;1;1;1;1;2;3;2;2;3;1;1;1;1;1;5;10;10;10;7;5;4;10;6;10;8;7;10;8;9;8;2;5;5;5;5;5;5;5;5;6;3;;6;3;
42;1;1;1;9;10;6;4;7;7;3;3;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;3;2;5;1;1;1;1;2;1;2;90;2;;;;;0;1;0;0;4;;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;10;6;6;2;0;1;4;3;2;;3;3;3;3;2;1;2;3;3;3;3;2;3;1;1;2;2;3;0;2;8;5;4;2;2;0;0;;;;;;;;1;3;3;2;3;3;2;2;3;;1;;;1;
43;1;2;1;3;1;11;3;1;5;2;1;2;5;1;4;;3;;2;2;;2;2;2;2;3;2;2;3;2;2;2;10;2;1;1;1;6;1;1;1;6;0;;;;;;0;0;0;0;3;;2;2;2;2;3;2;2;2;2;2;2;4;2;5;;;;1;1;11;3;2;0;0;6;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;4;2;3;0;0;10;10;0;0;0;9;0;0;0;0;3;0;8;6;1;4;4;2;4;1;4;1;1;0;1;;0;1;
44;1;1;2;1;77;1;3;8;8;2;1;7;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;1;2;7;3;5;1;1;5;1;5;1;6;0;;;;;;0;0;0;0;2;2;2;2;1;2;2;2;2;2;3;4;4;4;3;;;;;2;89;3;8;4;1;0;4;2;2;;2;3;2;3;3;3;2;3;1;3;2;2;3;3;2;3;2;2;5;8;7;9;8;5;2;6;3;8;6;6;7;4;7;5;2;2;5;5;5;5;5;5;5;7;;;7;;
45;1;1;2;6;78;1;5;1;3;3;1;2;6;2;;2;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;10;2;3;3;1;1;1;1;1;5;60;2;;;;;0;0;0;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;3;3;;;;1;78;1;7;4;0;0;6;3;3;3;2;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2;2;5;6;6;7;5;5;1;6;5;5;5;5;5;5;7;5;2;2;2;2;2;2;2;2;2;8;1;1;8;1;2
46;1;1;1;9;77;1;3;7;7;3;8;2;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;6;0;;;;;;0;0;0;0;5;;2;2;2;2;2;2;2;2;4;3;3;4;2;;;;;1;77;1;;3;1;2;3;3;3;;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;4;2;2;0;5;9;7;6;5;2;6;0;5;7;6;5;6;5;4;1;2;4;3;2;2;3;4;5;;;4;;;4
47;1;1;2;4;35;8;4;2;5;5;1;3;8;2;;3;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;10;3;2;1;1;1;1;1;1;1;0;;;;;;3;0;0;0;4;2;2;2;1;2;2;2;2;2;1;1;1;1;1;5;;;;1;35;8;3;2;1;0;5;3;2;2;3;1;3;2;1;2;1;1;1;3;2;2;3;1;2;3;2;2;0;7;7;7;3;3;5;3;0;5;5;2;5;2;5;5;1;3;4;2;1;3;1;3;3;8;1;5;0;2;10
48;1;1;1;1;72;7;2;1;6;1;7;3;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;3;4;6;4;2;3;3;5;3;380;1;2;3;4;;6;2;2;1;2;;2;2;2;2;2;2;2;2;4;4;3;3;3;1;3;;;2;72;7;6;3;0;0;6;4;3;2;3;4;3;2;4;2;3;3;3;3;3;5;2;3;3;3;3;3;0;8;4;6;8;1;4;6;7;6;3;5;2;4;5;6;1;3;3;3;3;3;3;2;3;8;1;;6;1;
49;1;1;1;1;75;1;5;1;4;1;3;7;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;2;2;2;2;5;120;1;2;;;;2;0;0;0;2;;2;2;2;2;2;2;2;2;3;4;4;3;4;3;;;;2;85;7;6;3;0;0;6;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;2;2;4;2;1;2;6;8;8;6;4;1;0;0;5;8;5;5;8;5;6;2;2;3;1;1;1;1;2;2;10;1;;8;1;
