SERIAL;JOURV3;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D15;D16Q_0;D16Q_1;D16Q_2;D16Q_3;D17;D18_0;D18_1;D18_2;D19_0;D19_1;D20;D21_0;D21_1;D21_2;D21_3;D22_0;D22_1;D22_2;D22_3;D22_4;D23_0;D23_1;D23_2;D23_3;D24;D25Q_0;D25Q_1;D25Q_2;D26;D27;D28_0;D28_1;D28_2;D28_3;D29_0;D29_1;D29_2;D29_3;D29_4;D29_5;D29_6;D29_7;D29_8
13;1;2;2;4;59;5;4;2;5;3;7;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;3;4;5;;;;1;59;5;6;4;2;0;5;1;0;1;1;0;2;5;2;1;1;1;1;3;3;3;3;2;2;2;2;4;3;;;;5;2;1;3;1;4;;4;4;;5;4;4;5;5;4;5;5;5
14;1;2;1;5;64;9;2;1;5;2;3;7;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;6;1;2;6;1;1;1;1;0;;;;;;0;3;;2;2;1;2;2;2;2;2;4;1;1;4;5;;;;1;64;9;5;4;2;0;5;1;1;1;0;0;1;2;2;2;2;1;1;3;3;3;3;2;2;2;2;3;2;3;;;5;1;1;2;1;4;4;4;;;2;5;5;5;5;5;2;5;5
15;1;2;2;6;81;10;3;1;3;6;2;9;4;2;;3;;1;2;;2;2;2;2;1;2;2;2;3;2;2;10;1;2;2;1;1;1;1;1;1;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;81;10;6;5;3;1;4;1;0;0;2;1;3;2;3;2;1;1;2;3;2;2;3;4;4;2;2;4;2;;;;4;4;1;4;1;3;;;5;2;5;5;5;5;5;5;5;5;5
16;1;2;2;3;75;1;5;1;3;2;8;4;1;2;;2;;2;2;;2;2;2;2;2;1;2;2;2;2;2;8;1;6;1;1;2;1;1;2;1;0;;;;;;0;2;2;2;2;1;2;2;2;2;2;4;3;4;4;3;;;;1;75;1;1;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;3;2;3;2;5;4;4;4;1
17;1;2;2;4;93;1;5;3;2;2;1;8;2;1;3;3;;1;1;0.0;2;2;2;2;1;2;2;1;1;2;3;10;2;2;2;1;1;1;1;1;1;120;3;;;;;0;2;2;2;2;1;2;2;2;2;2;3;3;1;3;2;;;;1;93;1;4;4;2;0;4;1;0;1;0;1;4;1;5;2;1;1;1;3;3;3;3;1;4;2;1;1;1;2;3;;3;4;1;4;1;4;;4;;5;5;5;5;5;5;5;5;5;5
18;1;1;2;7;26;11;2;1;5;5;1;4;7;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;1;2;3;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;3;3;3;4;1;3;;;1;26;11;5;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;5;2;5;5;2;5;5;2
19;1;1;1;6;34;10;2;4;4;7;4;2;3;2;;3;;1;2;;2;2;1;2;2;1;2;2;2;2;2;7;1;1;1;1;1;1;1;1;6;45;2;;;;;2;2;;2;3;2;2;2;2;2;2;3;2;3;3;5;;;;1;34;10;4;4;2;0;3;1;0;1;1;0;3;2;3;2;1;1;1;3;2;3;3;5;4;2;1;4;2;3;;;5;1;0;2;1;2;;3;1;;1;1;5;3;5;2;2;2;5
20;1;2;2;7;16;9;1;2;5;2;1;10;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;3;2;1;1;1;2;2;0;;;;;;0;3;2;2;2;2;2;2;2;1;1;3;2;3;2;4;;;;1;16;9;4;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;2;5;5;2;5;5;5
21;1;1;1;5;93;1;5;6;8;2;1;4;8;1;3;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;1;3;1;;;;;1;93;1;3;4;2;0;4;1;0;1;0;1;2;5;4;5;1;1;1;3;3;3;3;5;2;4;4;3;1;;;;1;4;1;4;1;4;;4;;4;4;4;4;2;2;4;5;4;5
22;1;2;1;3;61;4;1;1;2;3;3;9;5;2;;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;2;4;2;5;7;5;4;3;3;7;240;1;4;5;;;12;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;5;;;1;61;4;6;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;5;1;1;5;1;2;5;1
23;1;1;1;9;61;4;2;7;7;3;2;4;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;1;1;2;2;4;0;;;;;;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;61;4;4;3;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;2;5;5;5;5;1;5;2
24;1;3;2;7;92;1;5;2;4;1;1;10;8;2;;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;9;1;3;3;5;2;1;1;2;2;720;4;;;;;7;1;2;2;2;2;2;2;2;2;2;3;2;2;4;4;;;;1;92;1;1;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;2;3;5;5;2;1;4;3
25;1;1;2;10;6;12;4;7;7;3;1;2;6;2;;2;;2;2;;2;2;2;1;1;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;3;0;;;;;;0;3;2;2;2;2;2;2;2;1;1;4;4;4;4;;;;;1;6;12;3;1;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;4;4;5;5;4;2;4;5
26;1;1;2;3;29;8;1;5;8;3;1;7;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;3;2;2;2;1;2;3;3;4;3;;;;;1;29;8;7;4;2;0;4;1;1;1;0;0;1;5;5;5;1;1;1;2;2;3;1;2;2;5;2;3;1;2;;;1;1;0;2;1;5;5;5;;;2;5;5;5;5;2;5;5;5
27;1;2;2;10;22;8;2;7;7;6;8;2;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;2;60;2;;;;;0;1;2;2;1;2;2;2;1;1;2;4;4;4;4;;;;;1;22;8;5;1;0;1;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;5;2;5;5;2;4;5;5
28;1;1;2;1;59;5;4;8;8;2;1;6;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;5;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;1;1;1;1;;;;;1;59;5;9;4;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;3;5;5;4;2;4;1
29;1;1;2;7;95;1;5;1;3;1;3;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;4;60;2;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;1;95;1;5;3;0;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;5;5;5;5;5;5;5;5
30;1;1;2;7;38;11;1;1;4;6;8;1;7;1;2;2;;2;2;;2;2;2;1;1;2;2;1;2;2;1;8;2;6;6;4;1;1;1;1;5;50;2;;;;;0;1;2;2;2;2;2;2;2;2;2;1;1;1;1;3;;;;1;38;11;5;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;5;5;5;5;2;2;5;5
31;1;1;2;4;93;1;5;1;5;1;1;2;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;1;3;1;2;1;1;1;6;0;;;;;;0;3;1;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;93;1;1;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;2;5;5;5;2;5;5;5
32;2;2;1;3;69;11;4;1;4;1;1;8;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;2;1;1;3;3;60;1;;;;;1;2;;2;2;2;2;2;2;2;2;5;5;5;5;3;;;;1;69;11;2;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;3;4;5;5;4;3;4;3
33;1;1;2;1;75;1;5;8;8;1;7;3;4;1;2;3;;2;3;;3;3;3;3;3;3;3;3;3;3;3;6;1;1;1;1;1;1;1;1;2;0;;;;;;0;5;3;3;3;3;3;3;3;3;3;4;4;4;4;;;;;1;75;1;;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;2;3;4;4;4;1;4;4
34;1;2;2;3;81;10;1;1;5;2;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;3;1;1;1;1;1;6;75;1;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;5;;;;1;81;10;4;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;2;5;3;5;2;5;5;5
35;1;2;2;4;85;7;3;1;5;3;1;6;4;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;5;2;1;6;2;540;1;4;;;;60;3;2;2;2;1;2;2;2;2;2;4;3;1;4;1;8;;;1;85;7;4;2;2;0;6;1;0;2;0;0;2;2;5;2;2;3;1;3;3;3;1;2;3;5;3;5;2;3;;;5;1;1;3;1;2;;1;;;3;4;3;5;5;4;2;5;3
36;1;2;2;3;39;3;2;1;4;2;8;1;3;1;3;2;;2;2;;2;2;2;2;2;2;2;2;2;2;1;8;2;1;1;2;1;1;1;2;2;45;1;;;;;0;2;2;2;2;2;2;2;2;2;2;3;2;4;4;1;8;;;1;39;3;6;2;2;0;5;1;1;0;0;0;1;2;3;3;3;2;2;3;2;2;2;5;2;3;2;3;1;2;3;;4;1;0;1;1;5;1;;;;2;1;2;3;5;5;5;5;5
37;1;1;1;7;56;8;4;1;3;3;3;1;4;1;2;3;;2;2;;1;2;1;2;2;2;2;1;1;2;2;10;2;1;2;2;2;1;2;1;3;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;2;4;;;;1;56;8;5;4;2;0;5;1;0;2;0;0;2;2;3;2;4;2;2;2;2;2;2;2;2;3;2;3;2;3;;;1;1;0;1;1;2;;2;;;2;3;4;3;5;4;2;4;2
38;1;2;2;9;76;4;4;7;7;3;8;1;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;6;6;1;1;1;1;75;1;;;;;10;2;2;2;1;2;2;2;2;2;2;4;4;4;4;;;;;1;76;4;6;3;0;0;3;1;0;0;0;1;4;2;2;2;1;1;1;3;2;2;2;2;3;2;2;2;2;;;;5;1;0;2;1;3;;;;2;2;2;5;5;5;5;3;5;5
39;2;2;2;2;21;3;4;8;8;2;8;4;6;2;;3;;2;1;0.0;2;2;1;1;1;2;2;2;1;2;2;7;1;2;3;2;1;1;1;1;6;180;2;;;;;0;2;2;2;2;1;2;2;2;2;2;2;2;3;2;;;;;1;21;3;2;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;1;1;5;5;5;2;2;5
40;1;2;1;4;59;5;4;1;4;3;1;5;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;4;1;1;1;1;1;2;2;480;4;;;;;5;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;2;62;5;5;3;1;0;4;1;1;0;0;0;1;5;3;5;1;1;6;;;;;2;5;2;2;4;1;2;3;;5;2;0;2;1;3;3;;;;5;2;5;5;5;5;5;5;5
41;1;1;2;5;28;2;2;1;4;3;1;8;4;2;;2;;2;2;;2;2;2;2;2;1;2;2;2;2;2;8;1;2;2;2;1;1;1;2;6;135;1;3;;;;2;1;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;1;28;2;5;5;3;0;5;1;1;0;2;0;1;2;2;2;2;1;6;;;;;2;3;2;2;3;1;;;;5;2;0;4;1;2;2;;2;;2;2;5;5;5;5;2;2;2
42;1;2;2;6;59;5;4;5;8;3;1;10;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;9;1;2;2;1;2;1;1;2;2;0;;;;;;0;2;2;2;2;1;2;2;2;3;2;3;3;2;3;;;;;1;59;5;3;4;1;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;4;4;5;5;4;3;4;5
43;1;2;2;4;59;5;4;1;4;3;1;3;10;2;;3;;2;2;;2;2;2;2;1;1;2;2;2;2;2;9;1;3;1;1;1;1;1;1;6;30;1;;;;;0;4;2;2;2;3;2;2;3;2;2;2;2;4;2;5;;;;1;59;5;6;2;2;0;5;1;1;0;1;0;1;5;5;5;3;1;1;3;3;3;1;2;4;2;3;4;2;3;4;;5;1;0;3;1;3;5;;2;;2;5;5;5;5;3;1;5;5
44;1;2;2;5;37;2;1;6;8;3;1;4;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;5;2;1;3;2;1;1;6;0;;;;;;0;3;2;2;2;2;3;2;2;2;2;4;4;3;4;;;;;2;37;2;10;4;2;0;5;1;2;0;0;0;1;5;5;5;4;1;1;3;3;3;3;5;2;2;2;4;1;;;;1;1;1;1;1;4;3;;;;1;5;5;5;5;4;5;5;5
45;1;2;1;4;13;12;4;1;3;1;2;3;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;3;3;1;1;1;1;1;4;60;2;;;;;0;2;;2;2;2;2;2;2;2;2;2;1;3;1;5;;;;1;13;12;4;2;0;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;2;1;5;5;2;1;3;5
46;1;2;2;3;10;6;2;2;4;2;2;1;10;1;2;2;;2;1;0.0;1;1;1;1;1;2;2;1;1;1;2;10;1;1;1;1;4;1;1;2;1;420;1;4;;;;1;2;2;2;2;1;2;2;2;2;2;4;4;4;4;1;3;;;1;10;6;9;3;1;0;6;1;1;0;0;0;1;3;1;1;4;2;1;3;2;3;3;1;3;1;1;4;2;;;;5;2;1;2;1;4;1;;;;3;2;2;5;5;3;5;5;5
47;1;2;2;1;14;4;3;1;5;7;4;1;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;10;1;1;1;1;1;1;1;2;1;0;;;;;;0;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;;;;1;14;4;2;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;5;1;2;5;4;2;4;4
48;1;2;2;5;46;10;1;1;3;3;1;3;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;2;2;1;1;2;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;3;1;3;2;3;;;;1;46;10;5;5;3;0;6;1;2;1;0;0;2;3;3;3;3;1;1;3;2;3;2;1;2;3;2;3;1;2;4;;5;1;1;2;1;2;5;2;;;5;4;4;5;5;2;3;5;5
49;1;1;2;7;66;10;4;3;2;5;1;5;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;1;20;1;;;;;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;;;;1;66;10;4;3;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;5;5;5;5;5;5;5;5
50;1;2;2;5;59;5;4;1;5;1;4;3;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;1;1;3;2;1;2;2;2;600;4;;;;;25;4;2;2;2;2;2;2;2;2;2;4;4;4;4;8;;;;1;59;5;6;2;1;0;4;1;0;1;0;0;2;5;2;5;1;2;1;3;3;3;1;2;4;3;2;4;1;3;;;3;2;0;2;1;4;;3;;;5;5;5;5;5;5;2;5;5
51;1;2;2;5;30;10;1;6;8;2;1;10;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;6;1;1;1;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;30;10;4;5;3;0;3;1;1;1;0;1;2;5;5;5;1;2;1;3;3;3;3;4;1;2;3;1;1;;;;5;1;1;1;1;2;4;4;;2;5;2;5;5;5;5;2;5;5
52;1;1;2;3;33;9;4;1;5;7;1;2;6;2;;3;;2;2;;1;2;1;2;2;2;1;2;1;2;2;10;2;2;1;1;1;1;1;2;2;25;1;;;;;5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;4;;;;1;33;9;6;4;2;0;4;1;1;0;1;0;3;4;3;3;1;1;2;3;1;3;2;3;1;2;2;2;1;2;;;4;1;0;2;1;5;5;;2;;5;5;2;5;5;2;5;5;5
53;1;2;1;3;75;1;5;1;3;1;1;3;6;2;;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;10;1;2;1;1;1;1;1;1;1;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;3;;;;1;75;1;2;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;5;5;2;5;5;2;4;1
54;1;2;2;2;31;10;4;8;8;1;2;7;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;5;5;1;2;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;2;3;2;;;;;2;13;12;2;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;5;1;1;5;1;5;1;5
55;1;1;2;7;3;11;1;2;5;2;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;1;3;70;1;2;;;;2;3;2;2;2;2;2;2;2;2;2;3;2;4;3;5;;;;1;3;11;6;4;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;2;3;5;5;4;2;4;2
