SERIAL;JOURV3;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D15;D16Q_0;D16Q_1;D16Q_2;D16Q_3;D17;D18_0;D18_1;D18_2;D19_0;D19_1;D20;D21_0;D21_1;D21_2;D21_3;D22_0;D22_1;D22_2;D22_3;D22_4;D23_0;D23_1;D23_2;D23_3;D24;D25Q_0;D25Q_1;D25Q_2;D26;D27;D28_0;D28_1;D28_2;D28_3;D29_0;D29_1;D29_2;D29_3;D29_4;D29_5;D29_6;D29_7;D29_8
682;2;1;2;7;62;5;4;6;8;3;1;2;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;2;1;1;6;6;1;5;60;1;2;;;;4;3;2;2;2;1;2;2;2;2;3;4;4;3;3;;;;;1;62;5;5;4;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;3;4;5;5;4;5;4;2
683;2;1;1;4;27;4;1;2;5;2;6;2;1;2;;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;8;1;1;1;2;6;1;1;2;2;0;;;;;;1;2;;2;2;1;2;2;2;2;2;4;3;4;4;1;;;;1;27;4;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;5;5;5;5;2;5;5;5
684;2;1;2;7;51;6;1;4;5;3;1;5;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;5;1;5;1;1;1;1;5;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;51;6;8;4;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;5;5;5;5;2;5;5;5
685;2;1;2;6;38;11;1;2;5;3;7;8;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;6;1;2;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;3;5;;;;1;38;11;6;5;2;0;6;1;0;0;2;1;3;1;5;5;3;3;1;3;2;2;3;3;2;3;2;4;2;;;;5;2;2;2;1;3;;;5;2;1;2;2;4;5;2;2;5;5
686;2;2;1;1;21;3;1;8;8;1;3;7;4;2;;2;;1;2;;2;2;2;2;1;2;2;2;2;3;2;8;1;1;1;1;1;1;1;1;2;56;2;;;;;0;2;;2;2;2;2;2;2;2;2;3;4;4;3;;;;;1;21;3;4;4;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;5;3;5;5;5;3;5;2
687;2;1;1;6;77;1;3;1;5;3;10;8;3;2;;1;2;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;77;1;;4;2;0;6;1;0;0;2;0;3;3;3;3;1;1;1;2;3;3;3;2;4;2;2;5;2;;;;6;1;0;2;1;4;;;5;;5;2;5;5;5;3;1;5;5
688;2;1;2;7;34;10;4;4;5;1;1;3;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;1;1;2;2;6;0;;;;;;0;2;2;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;34;10;1;1;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;5;5;5;4;5;3;5
689;2;2;2;2;44;7;1;1;5;2;1;2;7;2;;3;;2;2;;2;2;2;2;2;1;2;2;1;2;2;9;1;1;1;1;1;1;1;1;2;0;;;;;;0;1;2;2;2;2;2;2;2;2;2;3;2;1;3;5;;;;1;44;7;5;4;2;0;3;1;1;0;0;0;1;2;5;5;1;1;2;3;2;3;3;1;3;2;2;4;2;3;;;5;0;0;2;1;4;4;;;;1;3;3;5;4;4;5;5;5
690;2;2;2;9;75;1;5;1;3;5;8;1;2;2;;3;;2;2;;2;2;2;2;2;2;3;2;2;2;2;4;1;2;1;1;1;1;1;1;1;120;3;;;;;1;2;2;2;2;2;2;2;2;3;2;3;3;3;3;3;;;;1;75;1;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;5;4;5;5;2;5;5
691;2;1;2;5;29;8;1;1;5;3;8;7;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;5;60;2;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;3;5;;;;1;29;8;6;5;3;0;4;1;1;2;0;0;2;5;5;5;2;2;1;2;2;3;3;2;1;3;2;1;2;;;;5;1;0;1;1;4;5;5;;;3;3;4;5;5;4;3;5;5
692;2;2;2;4;13;12;4;2;5;3;1;3;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;6;1;1;1;1;1;2;0;;;;;;0;1;2;2;2;2;2;2;2;2;2;3;3;1;2;5;;;;1;13;12;2;2;2;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;4;4;5;5;4;2;4;2
693;2;1;2;3;8;6;2;1;4;7;3;7;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;3;1;6;3;1;1;4;30;2;;;;;0;3;2;3;2;2;2;2;2;2;2;3;3;3;4;3;;;;1;8;6;5;3;1;0;6;1;1;0;0;0;1;5;5;5;1;1;1;3;3;3;1;2;5;2;2;4;1;2;3;;5;2;1;1;1;3;5;;;;2;2;5;5;5;2;5;4;5
694;2;2;1;9;70;3;1;7;7;2;2;8;5;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;1;2;1;1;1;1;6;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;70;3;4;1;0;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;2;3;5;5;2;5;5;5
695;2;1;1;1;38;11;2;8;8;1;8;2;7;1;3;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;4;1;3;1;1;1;1;4;0;;;;;;0;3;;2;2;2;2;2;2;2;2;3;4;4;2;;;;;2;38;11;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;2;2;5;2;1;2;2
696;2;2;1;4;6;12;4;1;5;7;7;1;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;2;1;1;1;1;1;6;90;1;;;;;4;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;6;12;3;2;1;0;5;1;0;1;0;0;2;5;5;5;1;1;1;1;3;3;3;1;4;4;2;1;1;2;3;;3;1;1;2;1;3;;3;;;5;1;5;5;5;5;5;5;5
697;2;2;1;2;67;6;4;1;6;3;1;6;2;2;;3;;1;2;;1;2;2;2;2;2;2;2;2;1;2;9;1;1;1;1;1;1;1;1;2;60;2;;;;;3;3;;2;2;2;2;2;2;2;2;3;3;2;2;5;;;;1;67;6;4;2;1;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;1;5;4;5;5;1;4;5
698;2;2;1;2;11;10;1;1;5;2;8;1;9;3;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;2;1;1;2;2;540;4;;;;;3;3;;2;2;2;2;2;2;2;2;4;3;4;4;1;;;;1;11;10;5;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;2;3;2;5;3;2;4;1
699;2;1;1;3;76;4;1;1;4;7;1;2;5;2;;2;;2;2;;2;2;2;2;2;2;2;2;1;2;2;10;2;2;2;2;2;1;2;3;2;240;1;2;4;;;10;3;;2;2;2;2;2;2;2;2;4;3;4;4;1;8;;;1;76;4;3;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;2;2;5;5;5;1;5;1
700;2;1;2;7;62;5;4;2;5;5;2;3;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;7;5;1;1;3;1;1;7;5;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;2;3;4;2;;;;1;62;5;5;3;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;5;5;5;5;5;5;5;5
701;2;1;2;2;83;12;2;1;4;2;1;2;9;2;;3;;2;2;;2;1;2;1;2;2;2;2;1;2;2;6;2;3;1;1;1;1;1;1;4;60;1;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;3;;;;1;83;12;3;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;2;5;5;5;2;2;5;5
702;2;1;1;3;77;1;5;1;4;2;1;4;5;1;2;1;;1;1;39.0;1;2;1;1;3;2;2;2;2;2;2;7;4;3;5;3;2;3;3;3;2;0;;;;;;2;2;;2;2;2;2;2;2;2;2;2;3;4;5;1;;;;1;77;1;7;3;1;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;5;2;5;3;4;5;4;5
703;2;1;1;8;31;10;4;1;4;2;1;6;5;2;;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;7;1;1;1;1;2;1;1;1;6;30;1;;;;;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;31;10;4;5;1;0;4;1;0;1;0;0;2;5;5;5;2;2;2;3;3;3;3;2;4;2;2;3;2;;;;5;0;1;1;1;5;;5;;;2;5;4;5;4;4;2;4;5
704;2;1;1;2;33;9;4;1;3;2;1;7;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;3;1;2;1;1;6;0;;;;;;0;2;;2;2;1;2;2;2;2;2;2;1;1;3;2;;;;1;33;9;2;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;3;2;3;5;5;2;5;4;5
705;2;2;2;6;57;6;2;1;3;2;1;11;4;2;;3;;2;2;;1;2;2;2;1;1;2;2;2;2;2;10;2;1;2;1;1;1;1;1;1;0;;;;;;0;2;2;2;2;1;2;2;2;1;1;3;3;2;3;4;;;;1;57;6;4;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;4;3;4;5;5;4;2;4;2
706;2;1;1;4;33;9;4;1;3;2;3;8;4;1;3;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;2;1;1;1;1;4;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;4;4;3;;;;1;33;9;2;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;4;4;5;5;5;2;5;1
707;2;3;2;5;86;9;4;1;5;7;10;3;2;2;;2;;2;2;;2;2;2;2;1;2;2;2;1;2;2;7;1;1;1;1;1;1;1;2;1;60;1;;;;;2;4;2;2;2;2;2;2;2;2;2;3;4;4;3;3;;;;1;86;9;7;4;2;0;5;1;0;1;1;0;3;3;2;5;1;1;1;3;3;2;2;3;3;2;2;3;1;;;;3;4;4;2;1;1;;1;1;;5;5;5;5;5;5;5;5;5
708;2;2;2;3;13;12;4;3;4;2;1;6;8;1;2;1;;1;1;39.8;1;1;1;1;1;2;1;1;1;1;2;8;1;2;1;2;1;1;1;1;1;60;2;;;;;1;2;2;2;2;1;3;1;1;2;2;2;2;3;2;3;;;;1;13;12;3;2;1;1;6;1;1;1;0;0;1;3;3;3;1;2;4;1;1;3;2;2;2;3;2;2;1;2;3;4;4;1;1;0;1;4;4;4;;;1;2;5;5;5;5;1;5;2
709;2;2;2;1;76;4;3;1;5;1;9;4;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;4;1;2;1;1;3;1;30;1;;;;;0;1;2;2;3;2;2;2;2;2;2;1;4;4;2;1;;;;1;76;4;2;1;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;5;5;2;4;5;5;5;4
710;2;1;1;3;49;7;1;1;4;7;1;6;8;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;8;1;4;3;1;1;2;1;3;5;630;4;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;3;3;1;5;;;1;49;7;4;3;1;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;2;2;5;5;2;2;5;5
711;2;2;2;1;41;2;3;8;8;1;1;6;3;1;3;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;2;1;1;1;2;6;40;2;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;4;2;;;;;1;41;2;5;4;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;5;5;5;5;2;5;5;2
712;2;3;2;5;69;11;4;4;5;3;7;5;4;2;;3;;1;2;;2;2;2;2;2;2;2;1;2;2;2;6;1;6;1;1;2;1;1;2;6;120;1;;;;;5;4;2;2;2;2;2;2;2;2;1;3;4;3;2;5;;;;1;69;11;5;6;4;0;6;1;1;2;1;0;2;5;3;2;1;1;2;2;2;3;1;3;2;3;2;2;2;3;;;4;1;1;1;1;3;2;2;2;;2;5;5;5;5;2;2;4;4
713;2;1;2;9;73;11;3;2;5;5;4;2;5;2;;3;;2;2;;2;2;2;2;1;1;2;2;2;2;2;4;2;6;1;1;1;1;1;2;2;55;2;;;;;0;2;2;2;2;2;3;3;2;2;2;3;4;3;3;3;;;;1;73;11;4;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;2;3;5;5;4;1;5;2
714;2;1;2;4;22;8;2;1;5;2;1;4;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;2;1;2;2;2;2;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;22;8;6;4;2;0;4;1;0;2;0;0;2;3;2;3;2;2;1;2;3;2;2;2;2;3;3;3;3;;;;4;1;1;0;1;5;;5;;;4;5;3;4;5;3;3;5;3
715;2;1;2;7;92;1;5;1;4;1;2;4;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1;1;1;1;1;2;4;480;4;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;1;3;;;1;92;1;3;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;2;3;5;5;4;2;4;2
716;2;2;1;2;69;11;3;1;5;1;5;1;9;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;1;1;1;1;1;5;15;2;;;;;3;1;;2;2;2;2;2;2;2;2;3;3;3;3;5;;;;2;69;11;8;4;4;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;2;2;3;5;2;2;4;2
717;2;1;2;1;49;7;4;8;8;2;3;4;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;4;4;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;2;3;3;4;;;;;2;78;1;9;6;1;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;4;2;5;5;2;2;1;5
718;2;1;1;2;81;10;2;4;5;1;5;4;3;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;7;1;6;1;1;2;1;1;1;6;105;1;;;;;0;5;;2;2;2;2;2;2;2;2;3;3;4;3;7;;;;1;81;10;6;6;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;5;5;5;5;5;1;4;5
719;2;1;1;1;16;9;1;8;8;1;3;6;2;2;;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;9;1;6;2;2;1;1;1;2;6;25;2;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;4;3;;;;;1;16;9;8;3;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;2;2;5;5;2;2;5;2
720;2;1;2;4;86;9;1;1;5;5;1;2;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;1;1;1;1;1;1;6;270;1;4;;;;10;1;2;2;2;2;2;2;2;2;2;3;1;2;3;5;;;;1;86;9;7;1;1;0;5;1;0;1;0;0;2;1;3;2;1;1;1;3;2;3;3;1;2;2;2;4;1;2;;;4;1;1;1;1;4;;3;;;4;4;4;5;4;4;4;4;4
721;2;2;1;1;83;12;4;8;8;1;1;6;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;2;1;1;1;1;2;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;2;4;;;;;1;83;12;5;4;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;5;1;2;5;5;2;3;5
722;2;1;1;9;56;8;3;1;5;3;1;8;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;2;45;1;;;;;0;2;;2;2;2;2;2;2;2;2;4;2;2;4;1;;;;1;56;8;4;2;2;0;4;1;0;0;0;2;4;2;2;2;4;2;2;3;2;2;3;2;3;2;2;2;2;;;;3;1;1;2;1;4;;;;2;2;2;5;5;5;1;2;4;1
723;2;2;2;3;58;3;1;1;5;2;11;11;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;4;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;4;4;4;2;;;;1;58;3;5;4;2;2;4;1;1;0;0;0;1;5;5;5;1;1;2;3;3;3;3;5;4;2;5;4;2;;;;5;2;1;5;1;4;4;;;;4;5;4;5;5;4;5;5;5
724;2;1;2;10;30;10;4;7;7;3;1;5;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;1;2;60;2;;;;;1;2;2;2;2;2;2;2;1;2;2;3;3;4;4;;;;;1;30;10;6;2;0;1;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;5;5;5;5;5;5;5
725;2;1;2;8;42;11;3;2;6;3;1;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;1;1;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;4;2;2;2;2;2;2;1;2;2;3;3;2;4;5;;;;1;42;11;5;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;1;3;4;4;4;4;4;4
726;2;2;2;9;49;7;2;7;7;6;1;8;4;2;;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;3;45;1;;;;;0;2;1;2;3;2;2;2;2;2;2;3;3;4;4;;;;;1;49;7;5;1;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;4;5;5;2;1;4;5
727;2;1;2;2;74;11;4;1;5;2;4;2;8;2;;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;6;3;4;2;3;2;1;1;3;4;120;1;;;;;103;2;2;2;2;2;2;2;2;2;2;1;1;1;1;5;;;;1;74;11;5;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;5;5;5;5;1;5;5;5
728;2;1;2;10;89;3;3;1;4;3;1;3;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;3;1;1;1;1;1;6;60;1;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;1;89;3;6;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;5;4;3;5;3;5;5;4
729;2;1;2;4;7;11;3;2;5;2;8;7;2;2;;1;;2;2;;2;2;2;1;1;2;2;2;1;2;2;8;1;2;2;1;1;1;1;1;4;20;1;;;;;0;5;2;2;2;2;2;2;2;2;2;3;2;2;3;3;;;;1;7;11;;2;1;0;5;1;0;1;0;0;2;5;5;5;1;1;1;3;3;3;1;2;2;5;3;3;2;;;;3;1;0;2;1;3;;5;;;3;1;3;5;5;3;2;4;5
730;2;1;2;6;69;11;2;1;5;3;10;9;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;6;0;;;;;;5;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;69;11;6;2;0;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;5;5;5;5;5;5;5
731;2;1;2;7;94;1;5;1;3;3;1;10;9;2;;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;10;1;1;1;1;2;1;3;3;2;0;;;;;;0;4;2;2;2;2;2;2;2;2;2;3;3;2;4;3;5;;;1;94;1;4;5;1;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;4;5;4;4;5;4;2;4;5
732;2;3;2;9;29;8;3;1;5;5;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;1;5;60;2;;;;;0;3;2;2;2;2;2;2;1;3;2;4;4;4;3;5;;;;1;29;8;4;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;2;2;5;5;2;2;4;5
733;2;2;2;3;34;10;3;4;4;3;1;7;2;2;;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;7;2;3;1;1;1;1;1;1;1;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;3;3;5;;;;1;34;10;4;3;1;0;4;1;0;1;0;0;2;3;2;3;1;1;1;3;2;3;3;1;1;2;1;3;1;2;3;;5;2;1;2;1;4;;3;;;2;2;2;5;5;2;2;5;5
734;2;1;2;10;91;1;5;7;7;3;1;6;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;1;2;20;1;;;;;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;91;1;6;2;0;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;2;3;5;5;2;5;5;5
735;2;1;1;10;80;5;4;7;7;3;8;4;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;2;1;1;2;6;105;1;3;;;;10;3;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;80;5;4;2;0;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;2;5;5;5;2;5;5;5
736;2;1;2;1;49;7;4;8;8;2;1;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;2;6;6;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;3;2;3;3;3;4;;;;;1;49;7;2;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;5;5;5;2;5;3;5
737;2;2;1;5;91;1;5;1;3;7;3;6;1;2;;2;;1;2;;1;2;2;2;2;2;2;2;1;2;2;7;1;1;3;1;1;1;1;1;4;30;2;;;;;0;2;;2;2;2;2;2;2;2;2;2;2;2;2;3;;;;1;91;1;6;3;1;0;6;1;0;1;0;0;2;5;5;5;4;3;1;3;3;3;2;3;2;4;4;4;1;2;3;4;3;4;2;2;1;2;;1;;;2;2;2;4;5;5;5;1;5
738;2;2;2;3;56;8;4;1;5;1;8;2;5;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;6;6;1;1;1;2;5;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;1;1;3;1;5;;;;1;56;8;4;1;1;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;1;1;5;5;5;2;5;5
739;2;1;2;2;75;1;5;4;3;1;1;5;6;2;;3;;2;2;;1;2;2;2;2;2;2;1;2;2;2;10;2;6;1;4;6;1;1;1;1;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;2;1;2;3;2;;;;1;75;1;1;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;4;4;4;5;4;4;4;4
740;2;2;2;3;49;7;1;2;4;7;1;10;5;2;;1;2;2;2;;2;2;2;2;2;2;2;2;2;1;2;9;1;2;1;2;1;2;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;49;7;4;4;2;0;4;1;1;1;0;0;2;5;5;5;2;2;1;3;3;3;3;3;2;4;2;3;1;;;;4;0;2;2;1;1;1;1;;;5;2;4;5;5;4;5;5;4
741;2;2;2;1;6;12;4;8;8;1;1;10;5;2;;3;;2;2;;2;2;1;2;2;2;2;2;3;2;2;7;1;1;1;1;1;1;1;1;1;0;;;;;;0;5;2;2;3;1;3;2;2;1;3;3;2;4;3;;;;;1;6;12;3;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;2;1;5;5;1;5;5;5
742;2;2;2;3;38;11;4;1;4;2;8;4;1;2;;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;0;;;;;;2;2;2;2;2;2;2;2;2;3;2;4;3;3;4;3;;;;1;38;11;3;3;1;0;6;1;1;0;0;0;1;2;2;2;4;1;1;1;3;2;3;3;2;2;3;2;1;2;;;5;1;1;2;1;2;1;;;;5;5;5;3;5;5;2;3;2
743;2;1;1;6;26;11;4;2;5;2;5;3;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;1;1;1;5;2;2;4;50;1;;;;;10;3;;2;2;1;2;2;2;2;2;4;3;4;2;5;;;;1;26;11;3;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;2;3;5;5;5;5;5;5
744;2;2;1;5;77;1;3;1;5;3;1;3;8;2;;3;;2;2;;3;2;2;2;2;2;2;2;2;2;2;9;1;2;3;1;2;1;2;2;2;0;;;;;;0;3;;2;2;3;2;2;2;2;2;4;3;3;4;4;;;;1;77;1;5;2;1;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;3;2;4;5;5;3;2;4;3
745;2;2;2;1;6;12;4;8;8;1;1;7;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;3;2;1;2;1;4;1;1;0;;;;;;2;5;2;2;2;2;2;2;2;2;2;4;4;2;4;;;;;1;6;12;;4;1;0;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;3;2;2;5;5;2;1;3;1
746;2;1;2;10;78;1;3;7;7;3;1;3;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;2;1;60;1;;;;;2;2;2;2;2;1;2;2;2;2;2;3;3;3;3;;;;;1;78;1;5;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;4;4;4;5;5;4;4;4;4
747;2;2;1;9;75;1;5;3;2;3;1;3;6;2;;2;;1;2;;2;2;2;2;2;2;2;2;2;2;1;7;1;1;1;1;1;1;1;1;4;60;1;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;75;1;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;5;5;5;5;5;5;5
